epoch,step,min,max,mean,std
1,1000,-3.0576181411743164,108.35838317871094,38.50274658203125,36.127994537353516
2,2000,-572.0427856445312,0.0,-205.13967895507812,198.7864227294922
3,3000,-516.3143920898438,0.0,-182.712646484375,166.6071014404297
4,4000,-36.96816635131836,484.58673095703125,191.510986328125,198.3876190185547
5,5000,-26.062599182128906,1256.0557861328125,479.11895751953125,475.0864562988281
6,6000,-7.893556118011475,267.3289489746094,104.8617172241211,90.69564819335938
7,7000,-99.82164764404297,489.8815612792969,198.83740234375,228.5831298828125
8,8000,-2160.812255859375,6.906155109405518,-836.36376953125,840.259521484375
9,9000,-1495.5191650390625,11.367326736450195,-587.0142822265625,596.676513671875
10,10000,-101.92289733886719,1451.4949951171875,590.2579345703125,627.6988525390625
