epoch,step,min,max,mean,std
1,1000,-4.708601474761963,0.23391756415367126,-1.8503100872039795,1.6573890447616577
2,2000,-0.21609163284301758,10.928868293762207,4.133194923400879,4.0780534744262695
3,3000,-0.802305281162262,19.099056243896484,7.78325891494751,7.584136486053467
4,4000,-5.995118618011475,6.22841739654541,0.6561391353607178,2.394333839416504
5,5000,-53.08598327636719,0.5910906195640564,-19.682960510253906,19.779890060424805
6,6000,-75.49897003173828,0.46475598216056824,-29.217926025390625,23.107746124267578
7,7000,-53.57925796508789,0.6058878302574158,-20.4007625579834,19.662477493286133
8,8000,-69.97956085205078,23.50615692138672,-28.27802276611328,33.081298828125
9,9000,-0.4410697817802429,93.41165161132812,38.70967102050781,30.694623947143555
10,10000,-27.502214431762695,19.84393310546875,-11.242204666137695,12.875009536743164
