epoch,step,min,max,mean,std
1,1000,-42.61778259277344,32.869266510009766,-0.8706777691841125,3.529521942138672
2,2000,-91.81183624267578,65.45317840576172,-0.9778326153755188,5.628155708312988
3,3000,-176.2799835205078,104.48082733154297,0.2998884320259094,13.828804969787598
4,4000,-227.6512451171875,155.72381591796875,-5.872551441192627,30.37224006652832
5,5000,-502.80926513671875,437.1126708984375,14.079605102539062,40.85673141479492
6,6000,-477.1031188964844,546.1278686523438,-9.591584205627441,39.832374572753906
7,7000,-470.2921142578125,373.21612548828125,23.67009735107422,68.116455078125
8,8000,-924.654296875,723.6699829101562,-18.330644607543945,80.3729019165039
9,9000,-654.3685302734375,626.2426147460938,21.128498077392578,100.5536880493164
10,10000,-452.3235168457031,541.5696411132812,5.437638282775879,43.03947830200195
