epoch,step,min,max,mean,std
1,10,-12.125038146972656,17.2032470703125,0.04175390675663948,1.726993203163147
2,20,-62.37321090698242,43.278175354003906,-0.0747608095407486,3.099153757095337
3,30,-25.978763580322266,20.96558952331543,0.046865250915288925,2.327565908432007
4,40,-35.5704231262207,65.57647705078125,-0.03218454495072365,3.869302272796631
5,50,-53.684749603271484,35.85487365722656,0.04588368907570839,4.831865310668945
6,60,-15.502564430236816,13.49049186706543,-0.0630229189991951,1.5223983526229858
7,70,-25.214332580566406,25.695466995239258,-0.0607152096927166,2.62673020362854
8,80,-17.01763343811035,11.488178253173828,0.002392205875366926,1.899813175201416
9,90,-28.580976486206055,30.06514549255371,0.09853867441415787,2.890254020690918
10,100,-20.652164459228516,25.335105895996094,0.04024116322398186,2.0236380100250244
