epoch,step,min,max,mean,std
1,10,-30.79900550842285,43.26277542114258,8.995197296142578,11.18709659576416
2,20,-20.297393798828125,18.618087768554688,1.9480226039886475,6.266639709472656
3,30,-11.020413398742676,11.781020164489746,2.2947797775268555,2.4748942852020264
4,40,-26.374900817871094,23.31890869140625,4.945652008056641,7.0684380531311035
5,50,-29.11849021911621,26.010147094726562,3.391298770904541,8.131636619567871
6,60,-20.516843795776367,35.76980972290039,-1.7327308654785156,7.778032302856445
7,70,-14.543919563293457,16.63200569152832,0.12996117770671844,3.410449504852295
8,80,-9.179178237915039,12.267876625061035,-1.91786527633667,2.6857693195343018
9,90,-6.378180503845215,13.141407012939453,-0.2116357982158661,2.5643808841705322
10,100,-23.507654190063477,14.653158187866211,3.2527542114257812,4.5544257164001465
