epoch,step,min,max,mean,std
1,100,-3533.10888671875,2256.8291015625,-227.11923217773438,1012.1076049804688
2,200,-4891.57421875,2775.126953125,-697.1649780273438,1468.4105224609375
3,300,-9178.943359375,16317.34375,1322.576416015625,3727.974609375
4,400,-8713.32421875,16100.4921875,-153.15374755859375,3263.67041015625
5,500,-8370.7431640625,6729.12841796875,-577.1954956054688,1812.4556884765625
6,600,-7762.76953125,5747.59033203125,-825.854736328125,1910.815673828125
7,700,-7885.9765625,9168.796875,-571.8693237304688,2931.8486328125
8,800,-3878.72265625,6258.19775390625,419.31695556640625,1646.0758056640625
9,900,-3696.551025390625,5955.2451171875,345.1845397949219,1479.344970703125
10,1000,-3067.216796875,2202.811767578125,-671.739501953125,864.5521850585938
