epoch,step,min,max,mean,std
1,100,-5562.125,3888.28515625,-49.18747329711914,552.7113037109375
2,200,-10549.1865234375,7805.06787109375,-152.9186248779297,1191.054931640625
3,300,-16234.701171875,28778.33203125,295.8235168457031,2102.783203125
4,400,-14451.6767578125,26786.73828125,-48.740379333496094,1718.2388916015625
5,500,-14079.6494140625,11187.9990234375,-117.54560089111328,1249.7093505859375
6,600,-12095.3134765625,8931.1005859375,-176.85313415527344,1089.682861328125
7,700,-13576.4091796875,15892.0703125,-131.74752807617188,1609.8955078125
8,800,-7641.24658203125,10922.19921875,103.46437072753906,905.6033325195312
9,900,-6643.0400390625,10746.1181640625,69.93110656738281,839.2545166015625
10,1000,-5341.07958984375,3576.109130859375,-144.062255859375,575.890380859375
