epoch,step,min,max,mean,std
1,100,-20930.734375,33278.56640625,-16.1396484375,11535.994140625
2,200,-22990.38671875,24113.458984375,-1815.4029541015625,11115.3095703125
3,300,-104389.03125,31017.408203125,-6280.16357421875,26318.6328125
4,400,-34399.68359375,50810.9609375,5668.76025390625,19342.517578125
5,500,-41243.65234375,29024.05859375,708.6919555664062,15747.1337890625
6,600,-42459.68359375,28851.755859375,3693.63720703125,15050.05078125
7,700,-18010.419921875,55853.1015625,7315.86669921875,15778.7763671875
8,800,-37964.2734375,43924.94140625,1666.264892578125,14990.359375
9,900,-43195.76953125,13734.5517578125,-3285.581787109375,13026.2998046875
10,1000,-15462.4189453125,17631.54296875,1600.599609375,8384.5322265625
