epoch,step,min,max,mean,std
1,100,0.39044898748397827,0.39044898748397827,0.39044898748397827,0.0
2,200,-26.616344451904297,-26.616344451904297,-26.616344451904297,0.0
3,300,-51.35447692871094,-51.35447692871094,-51.35447692871094,0.0
4,400,-63.27029037475586,-63.27029037475586,-63.27029037475586,0.0
5,500,-68.06590270996094,-68.06590270996094,-68.06590270996094,0.0
6,600,-67.25558471679688,-67.25558471679688,-67.25558471679688,0.0
7,700,-69.8194351196289,-69.8194351196289,-69.8194351196289,0.0
8,800,-71.25009155273438,-71.25009155273438,-71.25009155273438,0.0
9,900,-71.5461196899414,-71.5461196899414,-71.5461196899414,0.0
10,1000,-70.75788879394531,-70.75788879394531,-70.75788879394531,0.0
