epoch,step,min,max,mean,std
1,100,27.72792625427246,27.72792625427246,27.72792625427246,0.0
2,200,27.484495162963867,27.484495162963867,27.484495162963867,0.0
3,300,27.257909774780273,27.257909774780273,27.257909774780273,0.0
4,400,27.048614501953125,27.048614501953125,27.048614501953125,0.0
5,500,26.85062599182129,26.85062599182129,26.85062599182129,0.0
6,600,26.656417846679688,26.656417846679688,26.656417846679688,0.0
7,700,26.4621639251709,26.4621639251709,26.4621639251709,0.0
8,800,26.267004013061523,26.267004013061523,26.267004013061523,0.0
9,900,26.069561004638672,26.069561004638672,26.069561004638672,0.0
10,1000,25.87225914001465,25.87225914001465,25.87225914001465,0.0
