epoch,step,min,max,mean,std
1,100,-0.075306735932827,0.01780754327774048,-0.011548476293683052,0.017015332356095314
2,200,-0.031180767342448235,0.04663637652993202,0.0021727546118199825,0.013215310871601105
3,300,-0.06068887189030647,0.04116225615143776,-0.00876258872449398,0.016864435747265816
4,400,-0.11616328358650208,0.07692252099514008,-0.02511442080140114,0.028291568160057068
5,500,-0.09519383311271667,0.07311158627271652,-0.004314335063099861,0.0233512744307518
6,600,-0.062058839946985245,0.06560369580984116,0.006567830219864845,0.02278362587094307
7,700,-0.07261983305215836,0.09089826047420502,0.006643843371421099,0.027667220681905746
8,800,-0.07222088426351547,0.06666403263807297,-0.0011097657261416316,0.02411661110818386
9,900,-0.08130189031362534,0.11156134307384491,0.011821245774626732,0.03235948830842972
10,1000,-0.11921712756156921,0.12378650903701782,-0.0011380615178495646,0.035915181040763855
