epoch,step,min,max,mean,std
1,100,-0.6909090280532837,0.4998847246170044,-0.03175953030586243,0.25028732419013977
2,200,-0.27146708965301514,0.17756696045398712,-0.03958464786410332,0.10282164812088013
3,300,-0.38368016481399536,0.2887071371078491,-0.002791063627228141,0.14577506482601166
4,400,-0.5849719643592834,0.8341475129127502,-0.030454600229859352,0.27051952481269836
5,500,-0.9271346926689148,0.6237790584564209,-0.08159633725881577,0.262069433927536
6,600,-0.6667861342430115,0.4016825258731842,-0.06150209531188011,0.2595575451850891
7,700,-1.0437984466552734,1.0079621076583862,0.01748392917215824,0.3483288586139679
8,800,-0.3684435784816742,0.8392437696456909,0.04283755272626877,0.2646838128566742
9,900,-1.6358990669250488,0.9961729049682617,-0.027056723833084106,0.3994949758052826
10,1000,-1.6721986532211304,0.5862454175949097,-0.13369761407375336,0.45584240555763245
