epoch,step,min,max,mean,std
1,100,-0.06998482346534729,0.04538764804601669,-0.0030184993520379066,0.0307915098965168
2,200,-0.040766552090644836,0.006868066266179085,-0.008804559707641602,0.007296822965145111
3,300,-0.16964231431484222,0.20409655570983887,0.02776939794421196,0.11954860389232635
4,400,-0.09938260167837143,0.053999193012714386,-0.01326267421245575,0.04140184819698334
5,500,-0.3417697846889496,0.4730355441570282,0.08205439150333405,0.2513139843940735
6,600,-0.2278917282819748,0.2938729524612427,0.05189651995897293,0.16535766422748566
7,700,-0.20229879021644592,0.31546902656555176,0.051383279263973236,0.1544375717639923
8,800,-0.19695797562599182,0.09742598235607147,-0.037053678184747696,0.08820521831512451
9,900,-0.31486159563064575,0.449615478515625,0.05008435994386673,0.22022472321987152
10,1000,-0.3528754711151123,0.2075006514787674,-0.051403116434812546,0.1596684455871582
