epoch,step,min,max,mean,std
1,100,-0.0010486189275979996,0.00032066681887954473,-0.00020982077694498003,0.00022300693672150373
2,200,-0.006496004294604063,0.011076138354837894,0.0023944226559251547,0.003242534352466464
3,300,-0.04101364314556122,0.013418689370155334,-0.011366679333150387,0.012444159016013145
4,400,-0.04347230866551399,0.06623679399490356,0.018702812492847443,0.023545706644654274
5,500,-0.035898372530937195,0.022092929109930992,-0.01005120761692524,0.011691724881529808
6,600,-0.04588231071829796,0.04487023130059242,-0.011798376217484474,0.018480904400348663
7,700,-0.02741718664765358,0.051833413541316986,0.010514327324926853,0.012371302582323551
8,800,-0.05742389336228371,0.05339435115456581,0.014584270305931568,0.020380284637212753
9,900,-0.10140931606292725,0.12235674262046814,0.028577199205756187,0.04485044255852699
10,1000,-0.0249298345297575,0.030420957133173943,-0.007540237158536911,0.010829322971403599
