epoch,step,min,max,mean,std
1,100,-0.03271115571260452,0.07185910642147064,0.009056370705366135,0.019818855449557304
2,200,-0.01421099528670311,0.004030226729810238,-0.0007243052241392434,0.0037977274041622877
3,300,-0.014255664311349392,0.006897656247019768,0.0006153562571853399,0.0034413516987115145
4,400,-0.02769184485077858,0.045857906341552734,-0.0038025900721549988,0.017761608585715294
5,500,-0.014711583964526653,0.016052985563874245,-0.0020213481038808823,0.002480234019458294
6,600,-0.07690554857254028,0.0747622698545456,-0.013428742066025734,0.037099484354257584
7,700,-0.10836569964885712,0.11568628996610641,-0.016244014725089073,0.05371908098459244
8,800,-0.03423811122775078,0.0355570986866951,-0.005887205246835947,0.01606135256588459
9,900,-0.013667766004800797,0.007161909248679876,-0.0020302189514040947,0.003703224938362837
10,1000,-0.029302313923835754,0.030874628573656082,-0.004333255812525749,0.014176340773701668
