epoch,step,min,max,mean,std
1,100,0.28743118047714233,0.28743118047714233,0.28743118047714233,0.0
2,200,-0.04714512825012207,-0.04714512825012207,-0.04714512825012207,0.0
3,300,-0.03237634897232056,-0.03237634897232056,-0.03237634897232056,0.0
4,400,-0.3320225477218628,-0.3320225477218628,-0.3320225477218628,0.0
5,500,-0.05430959165096283,-0.05430959165096283,-0.05430959165096283,0.0
6,600,-0.6642391085624695,-0.6642391085624695,-0.6642391085624695,0.0
7,700,-0.8375687003135681,-0.8375687003135681,-0.8375687003135681,0.0
8,800,-0.42154428362846375,-0.42154428362846375,-0.42154428362846375,0.0
9,900,-0.03111795149743557,-0.03111795149743557,-0.03111795149743557,0.0
10,1000,-0.24964407086372375,-0.24964407086372375,-0.24964407086372375,0.0
