epoch,step,min,max,mean,std
1,200,-28697.9609375,11354.119140625,-4405.9267578125,6394.58154296875
2,400,-7691.2744140625,1460.80908203125,-1439.768798828125,1702.78076171875
3,600,-2389.849609375,1371.919677734375,-489.8634033203125,648.4100952148438
4,800,-1638.3253173828125,810.0076904296875,-240.99786376953125,429.2364196777344
5,1000,-1331.998779296875,985.0919189453125,-209.994140625,417.3770446777344
6,1200,-1211.8900146484375,653.9290771484375,-174.5572509765625,366.3150329589844
7,1400,-1142.306640625,851.5083618164062,-76.69061279296875,348.62445068359375
8,1600,-919.8129272460938,736.9603881835938,-35.75267028808594,301.45574951171875
9,1800,-1131.7315673828125,875.0916137695312,-88.54780578613281,355.13604736328125
10,2000,-844.6163330078125,1328.12451171875,-80.60446166992188,327.8297424316406
11,2200,-1215.577880859375,1180.6629638671875,-10.340306282043457,415.1622314453125
12,2400,-1240.063232421875,1200.28076171875,-83.9620590209961,395.47039794921875
13,2600,-1434.32373046875,1428.85205078125,51.893310546875,453.90057373046875
14,2800,-1359.4769287109375,1642.18310546875,-7.793266296386719,461.94976806640625
15,3000,-1738.246337890625,1891.1649169921875,75.15737915039062,629.9530639648438
16,3200,-1693.05029296875,1640.170654296875,-76.25479888916016,520.968994140625
17,3400,-2395.62646484375,2789.654541015625,-166.87744140625,923.1226806640625
18,3600,-3176.28271484375,2788.995361328125,56.73312759399414,952.761962890625
19,3800,-2156.4541015625,2103.820556640625,-106.10466766357422,818.767578125
20,4000,-2553.9775390625,2710.01025390625,-174.55422973632812,829.3660888671875
21,4200,-2802.588134765625,2779.547607421875,95.95538330078125,979.2833251953125
22,4400,-1899.2027587890625,2290.63232421875,82.08526611328125,840.5635986328125
23,4600,-2263.972900390625,2669.96533203125,73.05426788330078,805.140380859375
24,4800,-2706.497314453125,2501.572021484375,-128.4818115234375,961.823486328125
25,5000,-4904.9853515625,5135.04296875,82.52705383300781,1515.7403564453125
26,5200,-2603.3564453125,2914.287841796875,-61.53675079345703,1048.2135009765625
27,5400,-3902.232421875,4499.74462890625,213.49859619140625,1425.0782470703125
28,5600,-2845.544189453125,3520.798583984375,182.8167724609375,1132.271728515625
29,5800,-3197.723388671875,2642.2314453125,-436.4296875,1153.2154541015625
30,6000,-3224.298828125,2509.3486328125,-37.61951446533203,969.42529296875
31,6200,-2413.319580078125,2359.028076171875,-95.62939453125,863.0482788085938
32,6400,-4128.3818359375,4606.5302734375,241.45932006835938,1517.405517578125
33,6600,-3585.89599609375,4165.62841796875,220.71664428710938,1512.445556640625
34,6800,-3692.71142578125,3097.08447265625,-120.70755767822266,1136.1322021484375
35,7000,-4391.3544921875,3120.16162109375,-152.11428833007812,1123.0413818359375
36,7200,-3484.847900390625,3505.093505859375,-233.22308349609375,1275.0782470703125
37,7400,-4080.652099609375,3431.779541015625,-40.067752838134766,1258.107177734375
38,7600,-4728.9150390625,3243.95947265625,-69.49093627929688,1208.61376953125
39,7800,-3461.28173828125,2202.06591796875,-169.87118530273438,995.3956909179688
40,8000,-3639.712890625,4497.9716796875,-32.467254638671875,1226.3739013671875
41,8200,-2630.5185546875,2296.771484375,-31.143640518188477,967.0663452148438
42,8400,-2663.621337890625,2644.9111328125,4.745349884033203,905.3753051757812
43,8600,-2445.213134765625,2993.973876953125,-82.96308898925781,936.5664672851562
44,8800,-2377.733154296875,2823.16796875,122.9893798828125,1016.5035400390625
45,9000,-3472.685302734375,4818.7265625,196.2275390625,1348.3040771484375
46,9200,-3999.704833984375,4622.33203125,18.97862434387207,1193.4510498046875
47,9400,-2967.8662109375,2670.278564453125,-125.32905578613281,888.6593627929688
48,9600,-2196.6796875,2200.26513671875,24.90375518798828,829.782958984375
49,9800,-3161.09228515625,2429.2001953125,-114.50906372070312,866.61279296875
50,10000,-3124.557861328125,2440.1845703125,-32.24072265625,852.0975341796875
