epoch,step,min,max,mean,std
1,200,-0.0007816632278263569,0.0006505243363790214,9.469566066400148e-06,0.00014932929479982704
2,400,-0.00033917275140993297,0.0002794789324980229,-6.581141178685357e-07,6.496439891634509e-05
3,600,-0.0003525101637933403,0.0003744665009435266,9.982958545151632e-06,7.116136112017557e-05
4,800,-0.00026122553390450776,0.00023553390929009765,-1.923057880048873e-06,5.7325716625200585e-05
5,1000,-0.0003802273713517934,0.00038254796527326107,4.1210770973520994e-07,6.275998748606071e-05
6,1200,-0.00032063203980214894,0.00023923511616885662,-4.231860202708049e-06,5.4411666496889666e-05
7,1400,-0.00023157439136411995,0.00029765881481580436,4.808811809198232e-06,5.680136746377684e-05
8,1600,-0.00026670366059988737,0.00027101897285319865,-9.434830303689523e-07,5.521382263395935e-05
9,1800,-0.000297073507681489,0.0003170562267769128,-1.408553202963958e-06,6.542197661474347e-05
10,2000,-0.00036138598807156086,0.0003721777757164091,-4.249168796377489e-06,6.987604137975723e-05
11,2200,-0.00027096294797956944,0.00036789223668165505,-2.7820503873954294e-06,6.381632556440309e-05
12,2400,-0.0002770911087282002,0.0003362981660757214,-5.763411991210887e-06,6.439154094550759e-05
13,2600,-0.00032279107836075127,0.0002522288414184004,-3.183176204402116e-06,6.293092155829072e-05
14,2800,-0.00022449994867201895,0.0002293593715876341,4.762522621604148e-06,5.672492989106104e-05
15,3000,-0.00039184893830679357,0.00037113335565663874,2.906486770370975e-06,7.526577246608213e-05
16,3200,-0.00028157333144918084,0.00022460361651610583,-1.8829334749170812e-06,5.8976893342332914e-05
17,3400,-0.00034654579940252006,0.0003341170959174633,-3.3995610237980145e-07,6.596840103156865e-05
18,3600,-0.00026168039767071605,0.0002797527704387903,-2.039250603047549e-06,6.982350168982521e-05
19,3800,-0.0003687922435346991,0.0003711730532813817,-7.241849857564375e-07,7.481138163711876e-05
20,4000,-0.000390663422876969,0.00036529588396660984,-3.7758888993266737e-06,7.931670552352443e-05
21,4200,-0.00027164799394086003,0.0003037838905584067,2.9270249797264114e-06,6.786746234865859e-05
22,4400,-0.00039804718107916415,0.000297580030746758,3.776386165554868e-06,7.084478420438245e-05
23,4600,-0.00030429294565692544,0.0002984246239066124,5.430657097349467e-07,6.136969750514254e-05
24,4800,-0.0003321331168990582,0.00029867017292417586,3.7217168937786482e-06,6.279945955611765e-05
25,5000,-0.0003457187849562615,0.0003486461937427521,1.7058387129509356e-06,7.313761307159439e-05
26,5200,-0.0004995315102860332,0.0004507386183831841,6.629978088312782e-06,8.78962455317378e-05
27,5400,-0.00044856045860797167,0.0004411101690493524,7.487862603738904e-06,8.551770588383079e-05
28,5600,-0.00037508108653128147,0.0003666431875899434,2.6792199605552014e-06,6.565558578586206e-05
29,5800,-0.0004252033540979028,0.0004238734836690128,-5.906977094127797e-06,9.049929940374568e-05
30,6000,-0.00034176887129433453,0.00033255660673603415,4.83916039684118e-07,7.66572993597947e-05
31,6200,-0.00029448149143718183,0.0003562033816706389,4.101414560864214e-06,7.601391553180292e-05
32,6400,-0.00041113002225756645,0.00025314762024208903,7.75702915234433e-08,6.987475353525952e-05
33,6600,-0.00038346779183484614,0.0003822537837550044,3.981976988143288e-06,7.273714436450973e-05
34,6800,-0.0003932752588298172,0.00038278300780802965,8.4398161561694e-06,7.889875996625051e-05
35,7000,-0.0003728001320268959,0.0003287200815975666,3.0596268061344745e-06,8.132072980515659e-05
36,7200,-0.0003593197325244546,0.00032654727692715824,-3.4910988233605167e-06,7.787250797264278e-05
37,7400,-0.00035832152934744954,0.0003805546439252794,2.24566565520945e-06,7.607967563671991e-05
38,7600,-0.0004060906358063221,0.0003685672127176076,1.973015059775207e-06,8.41130968183279e-05
39,7800,-0.00037165137473493814,0.00047744985204190016,1.7933679146153736e-06,8.76767880981788e-05
40,8000,-0.0003126139927189797,0.00036720235948450863,6.935404712749005e-07,7.30841638869606e-05
41,8200,-0.00039592935354448855,0.0004747881612274796,5.142727331985952e-06,8.453879854641855e-05
42,8400,-0.000454123190138489,0.0004408600216265768,-2.8488680072769057e-06,8.600112050771713e-05
43,8600,-0.0004990273155272007,0.00045840986422263086,5.779169441666454e-06,9.144942305283621e-05
44,8800,-0.00034093266003765166,0.0004182129050604999,1.8374159935774514e-06,7.601115794386715e-05
45,9000,-0.0004545716801658273,0.00038400982157327235,-4.099987563677132e-06,8.69024297571741e-05
46,9200,-0.0003487150534056127,0.000378988916054368,1.1805598205683054e-06,8.035587234189734e-05
47,9400,-0.00042617766303010285,0.0004320179286878556,-9.494352184447052e-07,9.649551793700084e-05
48,9600,-0.0003611982974689454,0.0004294513491913676,5.279118340695277e-06,8.977459219750017e-05
49,9800,-0.0003946028300561011,0.0004061571089550853,1.3441549526760355e-06,8.393178723054007e-05
50,10000,-0.000561733148060739,0.000483014271594584,-1.347713350696722e-06,9.810610936256126e-05
