epoch,step,min,max,mean,std
1,200,-1.7809722423553467,-0.05680793523788452,-0.4802019000053406,0.2872624695301056
2,400,-0.626758873462677,0.4649978578090668,-0.21894584596157074,0.1433917135000229
3,600,-1.829829216003418,1.4468084573745728,-0.38639122247695923,0.5154169201850891
4,800,-3.1099693775177,2.580570936203003,-0.5403535962104797,0.9328086972236633
5,1000,-3.758875608444214,5.105679512023926,-0.39992088079452515,1.279171347618103
6,1200,-5.646595001220703,9.259714126586914,-0.4599761366844177,2.0491244792938232
7,1400,-3.4965624809265137,5.221823215484619,-0.38050052523612976,1.373597264289856
8,1600,-6.900948524475098,10.767827987670898,-0.7663025259971619,2.4120242595672607
9,1800,-7.841806888580322,10.197944641113281,-0.44482842087745667,2.1378393173217773
10,2000,-10.750764846801758,5.5673604011535645,0.4892258644104004,2.3406991958618164
11,2200,-11.732690811157227,17.677526473999023,-1.3074519634246826,5.066267490386963
12,2400,-17.454730987548828,9.297298431396484,0.0352763757109642,2.2526605129241943
13,2600,-24.323835372924805,33.329261779785156,-2.65742826461792,9.299745559692383
14,2800,-21.912944793701172,30.78731346130371,-2.2299580574035645,7.848414897918701
15,3000,-13.395940780639648,19.607486724853516,-1.4322220087051392,4.524085521697998
16,3200,-23.4700984954834,29.771221160888672,-2.1122210025787354,7.1216840744018555
17,3400,-33.03468322753906,42.14714050292969,-2.4120492935180664,9.5322847366333
18,3600,-48.34943389892578,58.797996520996094,-5.627646446228027,17.330270767211914
19,3800,-24.20270538330078,27.74519157409668,-1.1059410572052002,5.307488918304443
20,4000,-42.21161651611328,72.96946716308594,-6.26849365234375,18.95876693725586
21,4200,-35.250762939453125,33.228179931640625,-2.4608120918273926,9.63034725189209
22,4400,-36.605838775634766,26.55518341064453,-0.1842028647661209,7.281861305236816
23,4600,-27.76325225830078,30.476253509521484,-3.4299254417419434,9.50147819519043
24,4800,-68.8985824584961,62.629798889160156,-4.940120697021484,17.82822608947754
25,5000,-43.94236373901367,35.1749267578125,2.4780893325805664,8.676138877868652
26,5200,-90.33003234863281,136.95535278320312,-9.837902069091797,37.053340911865234
27,5400,-24.669301986694336,37.53070831298828,-3.621459722518921,10.755542755126953
28,5600,-66.76144409179688,81.83267211914062,-8.327150344848633,26.587953567504883
29,5800,-101.46821594238281,98.16390228271484,9.712127685546875,29.30689239501953
30,6000,-60.185813903808594,34.010982513427734,1.7311376333236694,13.560321807861328
31,6200,-63.307952880859375,59.757568359375,4.713260173797607,16.511606216430664
32,6400,-57.20562744140625,64.24794006347656,2.4652199745178223,15.797977447509766
33,6600,-76.69593811035156,101.46139526367188,3.939589500427246,19.701496124267578
34,6800,-91.20854187011719,53.71963119506836,5.360814571380615,23.909236907958984
35,7000,-73.03456115722656,103.42057800292969,-6.362462520599365,25.86493682861328
36,7200,-102.2696533203125,76.8163070678711,-4.661273002624512,16.591989517211914
37,7400,-373.2005615234375,300.4936218261719,32.937950134277344,120.84112548828125
38,7600,-80.34799194335938,46.20214080810547,2.3564634323120117,18.291500091552734
39,7800,-196.21395874023438,143.51446533203125,15.486091613769531,58.41229248046875
40,8000,-65.27842712402344,59.767635345458984,1.5928881168365479,13.655386924743652
41,8200,-152.22705078125,96.29100036621094,10.359142303466797,45.091278076171875
42,8400,-64.8453598022461,102.83977508544922,3.479916572570801,18.988636016845703
43,8600,-66.93917846679688,97.13728332519531,-5.99966287612915,21.878080368041992
44,8800,-179.85833740234375,229.25955200195312,-16.70956802368164,68.68334197998047
45,9000,-320.9022216796875,220.9197998046875,23.717575073242188,86.96981048583984
46,9200,-155.13702392578125,117.38618469238281,10.07609748840332,34.49155044555664
47,9400,-167.7133331298828,137.7464141845703,-7.915676116943359,34.41445541381836
48,9600,-134.13815307617188,109.30226135253906,-6.140950679779053,27.557937622070312
49,9800,-73.06904602050781,146.82473754882812,-2.9140899181365967,26.622844696044922
50,10000,-204.81607055664062,296.825927734375,-22.998016357421875,84.78607940673828
