epoch,step,min,max,mean,std
1,200,-1.9695932865142822,1.0794200897216797,-0.4485088586807251,0.6886166930198669
2,400,-1.851001262664795,0.11829715222120285,-0.5293879508972168,0.6148800253868103
3,600,-1.5808640718460083,0.021738898009061813,-0.48745179176330566,0.5326889753341675
4,800,-1.0351264476776123,0.014616908505558968,-0.3367653489112854,0.3534974455833435
5,1000,-0.8052092790603638,0.003942760638892651,-0.27023953199386597,0.27963003516197205
6,1200,-0.6604030728340149,0.006176147144287825,-0.22736087441444397,0.23226672410964966
7,1400,-0.444681316614151,0.0021342886611819267,-0.15859296917915344,0.15619203448295593
8,1600,-0.38978666067123413,0.001931520877406001,-0.1394643634557724,0.13951094448566437
9,1800,-0.4218844175338745,0.005468148738145828,-0.15271174907684326,0.15307238698005676
10,2000,-0.30608418583869934,0.0047252667136490345,-0.11233717203140259,0.1129489317536354
11,2200,-0.22685542702674866,0.00428773183375597,-0.08565102517604828,0.08179589360952377
12,2400,-0.2293345332145691,0.013974986970424652,-0.08524344861507416,0.08606742322444916
13,2600,-0.4738255441188812,0.007498093415051699,-0.17849120497703552,0.17747288942337036
14,2800,-0.19405248761177063,0.009860694408416748,-0.07322624325752258,0.07284432649612427
15,3000,-0.1801603138446808,0.016503915190696716,-0.06664253026247025,0.06884671002626419
16,3200,-0.3030104339122772,0.0017081842524930835,-0.1183239072561264,0.11261873692274094
17,3400,-0.20481383800506592,0.007598259020596743,-0.08145330101251602,0.07647360116243362
18,3600,-0.48718246817588806,0.014856160618364811,-0.1902218610048294,0.18491911888122559
19,3800,-0.19934388995170593,0.008584248833358288,-0.07878515124320984,0.0747644379734993
20,4000,-0.207747682929039,0.0028142696246504784,-0.08792324364185333,0.07655709236860275
21,4200,-0.5370398759841919,0.010770577937364578,-0.21489904820919037,0.20917601883411407
22,4400,-0.7639719247817993,0.045257747173309326,-0.30554044246673584,0.3006162941455841
23,4600,-0.6775760054588318,0.013885816559195518,-0.27420032024383545,0.26814699172973633
24,4800,-0.21799656748771667,0.02464582771062851,-0.08726225048303604,0.08545559644699097
25,5000,-0.5323995351791382,0.03163344785571098,-0.21862336993217468,0.2106095403432846
26,5200,-0.7388966083526611,0.032744400203228,-0.3004957437515259,0.29647478461265564
27,5400,-0.5053262710571289,0.07560916244983673,-0.20889031887054443,0.2008451521396637
28,5600,-0.09550792723894119,0.22733712196350098,0.09506597369909286,0.08958332240581512
29,5800,-0.6748018264770508,0.25684690475463867,-0.2835875153541565,0.2664105296134949
30,6000,-0.45110708475112915,0.46070313453674316,0.18760526180267334,0.19108854234218597
31,6200,-0.9983065128326416,1.5431938171386719,0.6341522932052612,0.634423553943634
32,6400,-0.2765350639820099,0.07706676423549652,-0.10901299118995667,0.11859381198883057
33,6600,-1.307159185409546,0.5906000733375549,-0.5330641865730286,0.5462856292724609
34,6800,-0.1840621531009674,0.10457567870616913,-0.07120922207832336,0.07792852073907852
35,7000,-0.9490423798561096,0.5127809047698975,-0.39063119888305664,0.3926866948604584
36,7200,-0.6029365062713623,0.11246782541275024,-0.24399155378341675,0.25645890831947327
37,7400,-1.1124120950698853,0.6887115240097046,-0.46016860008239746,0.46619850397109985
38,7600,-1.8168437480926514,0.7993254661560059,-0.7548835277557373,0.7594752311706543
39,7800,-0.8000099658966064,0.45068487524986267,-0.33596014976501465,0.33273911476135254
40,8000,-1.1504318714141846,0.38109517097473145,-0.4801529347896576,0.4854358732700348
41,8200,-0.7034366130828857,0.26641857624053955,-0.29180240631103516,0.2948234975337982
42,8400,-0.7990930080413818,0.35556015372276306,-0.3406631648540497,0.32934248447418213
43,8600,-0.31831374764442444,0.10080157220363617,-0.12532414495944977,0.13131210207939148
44,8800,-0.630990207195282,0.1911257803440094,-0.25355565547943115,0.2657071650028229
45,9000,-1.0550786256790161,0.334005206823349,-0.44947975873947144,0.4375123679637909
46,9200,-1.608238697052002,1.0547525882720947,-0.6804928779602051,0.6777032613754272
47,9400,-1.2066376209259033,0.5134312510490417,-0.5074957609176636,0.5088280439376831
48,9600,-1.511972427368164,0.8769022822380066,-0.6400043368339539,0.6367064118385315
49,9800,-1.1922513246536255,0.49633798003196716,-0.5083761215209961,0.4960311949253082
50,10000,-1.9031460285186768,0.9533965587615967,-0.8105945587158203,0.7999762892723083
