epoch,step,min,max,mean,std
1,200,-29.703899383544922,-29.703899383544922,-29.703899383544922,0.0
2,400,-24.55816078186035,-24.55816078186035,-24.55816078186035,0.0
3,600,-19.110774993896484,-19.110774993896484,-19.110774993896484,0.0
4,800,-11.630386352539062,-11.630386352539062,-11.630386352539062,0.0
5,1000,-8.552555084228516,-8.552555084228516,-8.552555084228516,0.0
6,1200,-6.708674430847168,-6.708674430847168,-6.708674430847168,0.0
7,1400,-4.348247051239014,-4.348247051239014,-4.348247051239014,0.0
8,1600,-3.679622173309326,-3.679622173309326,-3.679622173309326,0.0
9,1800,-3.86879301071167,-3.86879301071167,-3.86879301071167,0.0
10,2000,-2.7516884803771973,-2.7516884803771973,-2.7516884803771973,0.0
11,2200,-1.9704747200012207,-1.9704747200012207,-1.9704747200012207,0.0
12,2400,-1.9623955488204956,-1.9623955488204956,-1.9623955488204956,0.0
13,2600,-3.906625509262085,-3.906625509262085,-3.906625509262085,0.0
14,2800,-1.5946301221847534,-1.5946301221847534,-1.5946301221847534,0.0
15,3000,-1.4436311721801758,-1.4436311721801758,-1.4436311721801758,0.0
16,3200,-2.352658748626709,-2.352658748626709,-2.352658748626709,0.0
17,3400,-1.5569212436676025,-1.5569212436676025,-1.5569212436676025,0.0
18,3600,-3.6014466285705566,-3.6014466285705566,-3.6014466285705566,0.0
19,3800,-1.4338794946670532,-1.4338794946670532,-1.4338794946670532,0.0
20,4000,-1.4659008979797363,-1.4659008979797363,-1.4659008979797363,0.0
21,4200,-3.79219126701355,-3.79219126701355,-3.79219126701355,0.0
22,4400,-5.272710800170898,-5.272710800170898,-5.272710800170898,0.0
23,4600,-4.655531883239746,-4.655531883239746,-4.655531883239746,0.0
24,4800,-1.4569085836410522,-1.4569085836410522,-1.4569085836410522,0.0
25,5000,-3.5194265842437744,-3.5194265842437744,-3.5194265842437744,0.0
26,5200,-4.8195061683654785,-4.8195061683654785,-4.8195061683654785,0.0
27,5400,-3.2654881477355957,-3.2654881477355957,-3.2654881477355957,0.0
28,5600,1.4307293891906738,1.4307293891906738,1.4307293891906738,0.0
29,5800,-4.237695693969727,-4.237695693969727,-4.237695693969727,0.0
30,6000,2.8399016857147217,2.8399016857147217,2.8399016857147217,0.0
31,6200,9.445793151855469,9.445793151855469,9.445793151855469,0.0
32,6400,-1.7280983924865723,-1.7280983924865723,-1.7280983924865723,0.0
33,6600,-7.871827602386475,-7.871827602386475,-7.871827602386475,0.0
34,6800,-1.1568739414215088,-1.1568739414215088,-1.1568739414215088,0.0
35,7000,-5.648053169250488,-5.648053169250488,-5.648053169250488,0.0
36,7200,-3.5801119804382324,-3.5801119804382324,-3.5801119804382324,0.0
37,7400,-6.49761438369751,-6.49761438369751,-6.49761438369751,0.0
38,7600,-10.52604866027832,-10.52604866027832,-10.52604866027832,0.0
39,7800,-4.649888515472412,-4.649888515472412,-4.649888515472412,0.0
40,8000,-6.6251325607299805,-6.6251325607299805,-6.6251325607299805,0.0
41,8200,-4.0869951248168945,-4.0869951248168945,-4.0869951248168945,0.0
42,8400,-4.556439399719238,-4.556439399719238,-4.556439399719238,0.0
43,8600,-1.8465791940689087,-1.8465791940689087,-1.8465791940689087,0.0
44,8800,-3.516085624694824,-3.516085624694824,-3.516085624694824,0.0
45,9000,-5.81654691696167,-5.81654691696167,-5.81654691696167,0.0
46,9200,-8.826292991638184,-8.826292991638184,-8.826292991638184,0.0
47,9400,-6.5708699226379395,-6.5708699226379395,-6.5708699226379395,0.0
48,9600,-8.103129386901855,-8.103129386901855,-8.103129386901855,0.0
49,9800,-6.377205848693848,-6.377205848693848,-6.377205848693848,0.0
50,10000,-10.026161193847656,-10.026161193847656,-10.026161193847656,0.0
