epoch,step,min,max,mean,std
1,100,-1764.828125,1949.9091796875,72.04591369628906,568.259033203125
2,200,-8404.380859375,9663.6357421875,667.879638671875,2365.462646484375
3,300,-8204.0087890625,7388.92333984375,143.43777465820312,1947.720947265625
4,400,-13129.6611328125,9817.14453125,576.9266357421875,3317.914306640625
5,500,-2609.527587890625,4485.2294921875,404.9641418457031,1149.6949462890625
6,600,-4811.54443359375,4020.9306640625,152.34445190429688,1398.7061767578125
7,700,-8432.8916015625,7719.4423828125,86.1914291381836,2161.13134765625
8,800,-3981.38720703125,4904.34716796875,-41.482337951660156,1251.8909912109375
9,900,-2912.518310546875,3484.52783203125,209.22836303710938,962.2449951171875
10,1000,-4612.1572265625,4619.60302734375,-429.8864440917969,1317.341796875
