epoch,step,min,max,mean,std
1,100,-19107.802734375,13843.1259765625,-494.62860107421875,3448.884521484375
2,200,-73737.7578125,68031.1796875,-923.4183959960938,11192.7802734375
3,300,-80366.3203125,155959.625,740.3243408203125,13903.2138671875
4,400,-54330.30859375,110120.140625,2375.688720703125,11474.0732421875
5,500,-66278.6796875,47851.92578125,158.96145629882812,6739.84375
6,600,-42111.96875,37617.89453125,819.5634155273438,7230.1650390625
7,700,-44382.7265625,90200.8203125,1419.4049072265625,9934.6240234375
8,800,-51571.2578125,25895.4296875,-449.7325744628906,5431.2138671875
9,900,-43854.84765625,38351.56640625,63.07811737060547,4796.75
10,1000,-28433.7109375,34762.32421875,-232.99391174316406,5958.2890625
