epoch,step,min,max,mean,std
1,100,-0.0014734738506376743,0.0008262934279628098,-1.1863741747220047e-05,8.370296563953161e-05
2,200,-0.0010883770883083344,0.0012246082769706845,-6.998636763455579e-06,0.00010004757496062666
3,300,-0.0006419838755391538,0.00045882881386205554,-3.874612957588397e-06,5.789012720924802e-05
4,400,-0.0006322512053884566,0.0007383936899714172,-2.734107738433522e-06,6.625492096645758e-05
5,500,-0.0009633767767809331,0.0007910493295639753,8.16345345810987e-06,6.227109406609088e-05
6,600,-0.0006951309624128044,0.0009321033721789718,1.5033529621177877e-07,6.126267544459552e-05
7,700,-0.0009749296004883945,0.0008987654582597315,3.2147577258001547e-06,6.199204653967172e-05
8,800,-0.0005644486518576741,0.0005039132665842772,-8.273277671833057e-06,4.339179940870963e-05
9,900,-0.0007646948797628284,0.0007446673698723316,-5.881805009266827e-06,6.104359636083245e-05
10,1000,-0.0007335947011597455,0.0008640143205411732,1.1869728041347116e-05,6.4332147303503e-05
