epoch,step,min,max,mean,std
1,100,-0.002789942780509591,0.003742444096133113,8.513171633239836e-05,0.0005732437130063772
2,200,-0.005385845433920622,0.0068297735415399075,-3.634812674135901e-05,0.0007111817831173539
3,300,-0.003111774567514658,0.003202362684533,-6.408445915440097e-05,0.00046951460535638034
4,400,-0.0037892316468060017,0.0028167415875941515,1.7651178495725617e-05,0.0004635222430806607
5,500,-0.0012299225199967623,0.0029905319679528475,0.00013484989176504314,0.0004146271094214171
6,600,-0.0034371865913271904,0.003050409723073244,8.676635479787365e-05,0.0004701339639723301
7,700,-0.0025718167889863253,0.002929454669356346,-4.714144961326383e-05,0.00045067956671118736
8,800,-0.0015023286687210202,0.0023298526648432016,4.426257510203868e-05,0.0003344316501170397
9,900,-0.0029534362256526947,0.003021802054718137,-1.243272163264919e-05,0.0004675995442084968
10,1000,-0.0024602897465229034,0.003554913215339184,8.365096437046304e-05,0.0004513722669798881
