epoch,step,min,max,mean,std
1,100,-0.1470479667186737,0.20042596757411957,-0.023258797824382782,0.07150667160749435
2,200,-0.2388409674167633,0.21259738504886627,-0.034052036702632904,0.09622928500175476
3,300,-0.12603484094142914,0.20276568830013275,0.012786848470568657,0.07571505010128021
4,400,-0.18031074106693268,0.16712017357349396,-0.038145460188388824,0.09007102251052856
5,500,-0.15654256939888,0.16829423606395721,0.009434075094759464,0.08400839567184448
6,600,-0.10283862054347992,0.17133907973766327,0.044497206807136536,0.06447602063417435
7,700,-0.23373717069625854,0.08379790931940079,-0.03107534721493721,0.07547517865896225
8,800,-0.24550765752792358,0.4761415123939514,0.03649581968784332,0.13666889071464539
9,900,-0.27212297916412354,0.24770179390907288,-0.009053094312548637,0.11311953514814377
10,1000,-0.21369658410549164,0.09985493123531342,-0.021437320858240128,0.09095108509063721
