epoch,step,min,max,mean,std
1,100,-3.0457706451416016,0.8709097504615784,-0.6146681308746338,1.0723589658737183
2,200,-6.3813910484313965,2.524099588394165,-1.0007023811340332,2.5649616718292236
3,300,-58.581932067871094,24.73699378967285,-5.396883487701416,20.69116973876953
4,400,-41.646484375,27.07216453552246,-2.0814626216888428,14.733397483825684
5,500,-43.05648422241211,30.2012882232666,-1.5089340209960938,16.93129539489746
6,600,-38.30796432495117,27.50543212890625,1.0349007844924927,16.4689884185791
7,700,-11.99838638305664,23.925048828125,1.0566020011901855,8.573704719543457
8,800,-26.67238426208496,24.898788452148438,-1.9718613624572754,13.456768989562988
9,900,-15.719405174255371,14.025404930114746,-2.1434340476989746,6.469930648803711
10,1000,-23.795764923095703,20.242265701293945,2.9513368606567383,9.992074966430664
