epoch,step,min,max,mean,std
1,100,-0.4386468231678009,0.49837663769721985,-0.012222116813063622,0.07218688726425171
2,200,-6.000438213348389,3.574427604675293,0.04363638162612915,0.8181961178779602
3,300,-40.04597854614258,26.467737197875977,-0.6017966866493225,5.3941650390625
4,400,-42.308555603027344,36.69370651245117,0.6348412036895752,5.648146629333496
5,500,-55.045936584472656,34.97194290161133,-0.08634114265441895,5.980061054229736
6,600,-30.518709182739258,31.726884841918945,-0.2373214066028595,4.297433853149414
7,700,-38.057411193847656,30.714344024658203,-0.32079845666885376,4.969069480895996
8,800,-18.349597930908203,32.634178161621094,-0.2851502597332001,4.011087417602539
9,900,-30.436309814453125,25.47256088256836,-0.03349531441926956,4.0408782958984375
10,1000,-20.903547286987305,62.441192626953125,0.6010361909866333,5.071445941925049
