epoch,step,min,max,mean,std
1,100,-153.81106567382812,13.582219123840332,-53.607948303222656,65.0685806274414
2,200,-43.44443130493164,12.437490463256836,-12.875349998474121,21.202232360839844
3,300,-65.1183090209961,3.8628408908843994,-22.113187789916992,27.27181625366211
4,400,-2.132497549057007,14.460034370422363,3.985994338989258,5.693443298339844
5,500,-188.04188537597656,7.990386009216309,-64.80332946777344,78.56758117675781
6,600,-114.39662170410156,0.0,-42.681671142578125,43.52329635620117
7,700,-160.4905548095703,0.0,-58.09491729736328,63.98138427734375
8,800,-6.448101997375488,85.7590103149414,33.092689514160156,31.88129997253418
9,900,-3.652557373046875,214.75128173828125,83.1062240600586,80.22325897216797
10,1000,-118.74665069580078,0.0,-45.110595703125,46.45901870727539
