epoch,step,min,max,mean,std
1,100,-0.020009009167551994,0.00707975123077631,-0.0007517882040701807,0.002117931144312024
2,200,-0.002542822854593396,0.0034995144233107567,7.713126251474023e-05,0.0003405969764571637
3,300,-0.0019107692642137408,0.00039631169056519866,-5.952858555247076e-05,0.00018133714911527932
4,400,-0.0023574354127049446,0.0009884398896247149,-1.2257033631613012e-05,0.0001043073643813841
5,500,-0.0014345914823934436,0.00206393888220191,-8.762918696447741e-06,0.00011065776197938249
6,600,-0.004375862423330545,0.0027656909078359604,6.236052172425843e-07,0.0002391439484199509
7,700,-0.0030245217494666576,0.001044796546921134,-1.674197665124666e-05,0.00018896763504017144
8,800,-0.003253734903410077,0.006174261216074228,9.895463335851673e-06,0.00027237003087066114
9,900,-0.001448999741114676,0.001855977694503963,3.7355450785980793e-06,0.00012712289753835648
10,1000,-0.007889666594564915,0.004564956296235323,-7.220721272460651e-06,0.000372176495147869
