epoch,step,min,max,mean,std
1,100,-0.14077894389629364,0.06374242156744003,-0.0019358673598617315,0.014263991266489029
2,200,-0.04276398569345474,0.015500642359256744,-0.0009308740263804793,0.005142428446561098
3,300,-0.024532439187169075,0.007928252220153809,-8.51836521178484e-05,0.00216351798735559
4,400,-0.010760676115751266,0.0022065294906497,-0.00023499407689087093,0.0012183664366602898
5,500,-0.007021253928542137,0.003767513670027256,-5.595328548224643e-05,0.0008387439884245396
6,600,-0.010885240510106087,0.011852384544909,0.00020769091497641057,0.001557495561428368
7,700,-0.007633127272129059,0.008526883088052273,3.107239172095433e-05,0.0010720359859988093
8,800,-0.013091014698147774,0.012669154442846775,-0.00020458617655094713,0.0015120079042389989
9,900,-0.006430135108530521,0.0080468924716115,-3.3777796488720924e-05,0.0008611291996203363
10,1000,-0.01617068238556385,0.022991597652435303,0.0003393503138795495,0.0023343178909271955
