epoch,step,min,max,mean,std
1,100,-3.60500431060791,-3.60500431060791,-3.60500431060791,0.0
2,200,0.6384764909744263,0.6384764909744263,0.6384764909744263,0.0
3,300,-0.9829602241516113,-0.9829602241516113,-0.9829602241516113,0.0
4,400,-4.528666019439697,-4.528666019439697,-4.528666019439697,0.0
5,500,-1.9385385513305664,-1.9385385513305664,-1.9385385513305664,0.0
6,600,-4.085178375244141,-4.085178375244141,-4.085178375244141,0.0
7,700,-0.5024363994598389,-0.5024363994598389,-0.5024363994598389,0.0
8,800,5.701701641082764,5.701701641082764,5.701701641082764,0.0
9,900,-1.8839242458343506,-1.8839242458343506,-1.8839242458343506,0.0
10,1000,-0.12784796953201294,-0.12784796953201294,-0.12784796953201294,0.0
