epoch,step,min,max,mean,std
1,200,-21255.85546875,8974.6484375,-2951.47314453125,5512.2177734375
2,400,-7328.44189453125,2053.926025390625,-1121.412841796875,1642.917724609375
3,600,-3221.64404296875,1393.663818359375,-429.9891662597656,663.1541748046875
4,800,-1421.013916015625,541.0721435546875,-186.40701293945312,367.5985107421875
5,1000,-1000.172119140625,528.7537841796875,-97.53846740722656,289.548828125
6,1200,-1216.69140625,863.87060546875,-83.5416488647461,331.36181640625
7,1400,-1640.061767578125,884.617431640625,-122.93614196777344,403.56939697265625
8,1600,-1337.44921875,921.911865234375,-96.10629272460938,368.2105407714844
9,1800,-964.9439086914062,1071.2032470703125,-32.31388854980469,307.5291748046875
10,2000,-1256.77294921875,1337.44091796875,-35.27003479003906,411.7001953125
11,2200,-1460.2452392578125,1539.1409912109375,-60.34751892089844,448.4858703613281
12,2400,-1479.3765869140625,1033.8995361328125,9.903480529785156,340.5775146484375
13,2600,-1280.98583984375,883.4154052734375,-68.28447723388672,365.0852355957031
14,2800,-2040.76123046875,1542.9710693359375,-147.09552001953125,540.1549682617188
15,3000,-1573.3626708984375,1466.869140625,21.967090606689453,387.1856384277344
16,3200,-1412.8515625,1429.76611328125,-20.170612335205078,450.5769958496094
17,3400,-3597.228515625,2051.85595703125,-137.89048767089844,828.757568359375
18,3600,-2498.018310546875,2427.477783203125,-100.56083679199219,721.1984252929688
19,3800,-3990.74365234375,2537.87158203125,46.672393798828125,833.236328125
20,4000,-1719.8587646484375,2691.09228515625,37.232208251953125,735.4961547851562
21,4200,-2126.95849609375,1901.44189453125,29.292253494262695,696.1488647460938
22,4400,-2622.6689453125,2770.850830078125,59.557151794433594,886.8379516601562
23,4600,-2395.66650390625,1959.259033203125,-18.514572143554688,668.7506713867188
24,4800,-2877.19287109375,2603.73291015625,-222.4327850341797,858.2705078125
25,5000,-1965.2158203125,2213.8681640625,67.36775207519531,687.9351806640625
26,5200,-2682.3515625,4029.476806640625,9.816797256469727,1055.658203125
27,5400,-2565.927001953125,2418.97119140625,3.894317626953125,777.7052612304688
28,5600,-2118.14306640625,2114.927734375,-17.167926788330078,660.5547485351562
29,5800,-2876.18603515625,4188.4267578125,-79.71797180175781,898.94873046875
30,6000,-2654.94775390625,3319.033203125,-10.255550384521484,892.7035522460938
31,6200,-7783.3798828125,6565.2646484375,-55.71167755126953,2159.515869140625
32,6400,-4023.32470703125,4692.98095703125,30.640823364257812,1141.343994140625
33,6600,-2778.987548828125,3435.57373046875,-27.97079086303711,1042.6605224609375
34,6800,-5038.2421875,4244.904296875,-74.33164978027344,1342.7833251953125
35,7000,-3901.83935546875,2758.245361328125,-21.79697608947754,1148.5732421875
36,7200,-3856.5595703125,4277.3564453125,15.547380447387695,1239.2086181640625
37,7400,-3190.88037109375,2508.484619140625,-25.16604995727539,872.0153198242188
38,7600,-8330.7021484375,9151.154296875,-147.06143188476562,2692.45849609375
39,7800,-4346.68994140625,3142.4208984375,0.6450176239013672,1253.6322021484375
40,8000,-4032.06494140625,2983.2890625,-33.668113708496094,973.6011962890625
41,8200,-3730.8515625,3351.998779296875,111.71683502197266,1169.6195068359375
42,8400,-4872.5107421875,5596.9580078125,190.60472106933594,1652.6204833984375
43,8600,-6178.451171875,4782.39794921875,-19.349788665771484,1660.4908447265625
44,8800,-1791.908203125,2766.880126953125,19.427358627319336,710.858154296875
45,9000,-9002.73046875,8490.5732421875,147.47512817382812,2604.099609375
46,9200,-7398.17724609375,7164.9072265625,-13.893943786621094,2067.6484375
47,9400,-1987.4931640625,2448.012451171875,-16.74212074279785,675.0805053710938
48,9600,-3307.090087890625,3723.59619140625,38.372032165527344,1166.6163330078125
49,9800,-4166.24462890625,4850.265625,34.713783264160156,1435.502197265625
50,10000,-5425.1015625,6920.7998046875,152.18630981445312,2118.927001953125
