epoch,step,min,max,mean,std
1,200,-11668.4970703125,5029.560546875,-451.76165771484375,1114.8563232421875
2,400,-4700.44873046875,2024.7310791015625,-175.89300537109375,401.7142639160156
3,600,-1986.6240234375,1317.9595947265625,-68.39808654785156,211.1038818359375
4,800,-972.0738525390625,843.6882934570312,-22.95209503173828,151.10401916503906
5,1000,-923.894287109375,1154.626708984375,-11.606497764587402,135.8278045654297
6,1200,-1095.979248046875,1110.41015625,-5.047364234924316,140.61827087402344
7,1400,-1019.2139282226562,1411.170166015625,-16.889135360717773,149.70834350585938
8,1600,-1233.5235595703125,1102.0068359375,-7.072461128234863,151.75267028808594
9,1800,-1255.4527587890625,1047.3614501953125,-1.0632706880569458,143.18467712402344
10,2000,-918.7308349609375,939.292724609375,3.8476104736328125,147.67031860351562
11,2200,-1628.6005859375,1422.6197509765625,-7.388337135314941,191.77017211914062
12,2400,-1644.93798828125,1823.1060791015625,4.702807903289795,177.56790161132812
13,2600,-1701.859619140625,1180.3717041015625,-8.085973739624023,161.3294219970703
14,2800,-1673.4442138671875,1431.685791015625,-31.3088436126709,220.81991577148438
15,3000,-2437.654541015625,1648.5946044921875,-1.535128116607666,244.231201171875
16,3200,-3042.1357421875,2077.7255859375,-22.3719425201416,297.0155944824219
17,3400,-3293.359375,2894.7099609375,-37.92900085449219,356.82623291015625
18,3600,-2845.28125,2903.226318359375,-24.441068649291992,317.03570556640625
19,3800,-5084.33154296875,5091.99658203125,23.016002655029297,499.4339294433594
20,4000,-5228.53759765625,6620.279296875,8.647298812866211,565.14208984375
21,4200,-5492.07958984375,3957.031494140625,10.481698036193848,469.59832763671875
22,4400,-4705.53271484375,6050.9951171875,26.76849365234375,584.1517333984375
23,4600,-7024.6396484375,5391.63720703125,-13.004220962524414,563.7720336914062
24,4800,-5771.36865234375,4940.46484375,-85.0751724243164,578.4749145507812
25,5000,-7336.05859375,6331.3017578125,33.93794631958008,561.0466918945312
26,5200,-7541.26904296875,8891.0458984375,3.0586512088775635,732.5919799804688
27,5400,-5261.97900390625,7126.2314453125,-2.8112707138061523,565.5756225585938
28,5600,-5785.3408203125,6485.5791015625,-7.350799083709717,543.3111572265625
29,5800,-8220.212890625,9422.9912109375,-34.955902099609375,692.4368896484375
30,6000,-8002.10205078125,8012.2587890625,-11.714300155639648,768.7332763671875
31,6200,-8560.314453125,6415.8974609375,-10.345075607299805,646.0333251953125
32,6400,-9568.4365234375,10104.0693359375,15.861898422241211,896.5877685546875
33,6600,-8643.001953125,8033.67724609375,-20.6005916595459,863.3399047851562
34,6800,-12061.431640625,11107.6513671875,-42.232017517089844,1161.2252197265625
35,7000,-9975.2333984375,8284.9892578125,-7.729241371154785,897.4546508789062
36,7200,-8865.2890625,9424.0810546875,-0.5173649787902832,959.5369873046875
37,7400,-8307.310546875,7785.9697265625,-16.031612396240234,709.5782470703125
38,7600,-21759.3203125,21248.208984375,-46.9528694152832,1590.06640625
39,7800,-4332.2041015625,4824.48193359375,-0.04032564163208008,517.3007202148438
40,8000,-6516.38037109375,4846.9931640625,-9.036371231079102,421.4921569824219
41,8200,-6497.88330078125,7072.8583984375,52.055023193359375,806.5457153320312
42,8400,-18593.783203125,15830.640625,85.20999145507812,1418.5135498046875
43,8600,-7812.544921875,8592.8994140625,-25.995010375976562,743.487060546875
44,8800,-2860.820556640625,3207.8828125,10.587257385253906,328.4540710449219
45,9000,-30287.71484375,29129.083984375,71.93589782714844,2302.184814453125
46,9200,-6747.38818359375,6551.45361328125,-2.0483813285827637,548.3568115234375
47,9400,-2853.189697265625,3508.939453125,-3.7908544540405273,248.71156311035156
48,9600,-12687.4892578125,12675.033203125,11.504557609558105,1117.45361328125
49,9800,-10519.84765625,11048.5830078125,19.623472213745117,1158.2159423828125
50,10000,-5277.30810546875,6937.7763671875,43.89695739746094,813.1295776367188
