epoch,step,min,max,mean,std
1,200,-117622.25,-14868.69921875,-52101.78515625,32251.263671875
2,400,-49705.8125,-9606.013671875,-29331.009765625,11088.5673828125
3,600,-46763.703125,-9344.8798828125,-26262.591796875,9694.546875
4,800,-48947.17578125,-8343.4267578125,-25071.576171875,10428.6845703125
5,1000,-52754.09375,-8457.841796875,-24056.048828125,10788.5517578125
6,1200,-48876.44921875,-7339.87158203125,-23130.708984375,10212.83203125
7,1400,-44783.30078125,-7475.81982421875,-23315.392578125,10113.232421875
8,1600,-45491.0703125,-7858.0869140625,-22616.208984375,9459.80859375
9,1800,-46073.4921875,-7919.552734375,-22517.76953125,9170.7197265625
10,2000,-45263.0546875,-6680.17529296875,-22033.083984375,9260.052734375
11,2200,-40369.6015625,-7902.91162109375,-21714.884765625,8882.5849609375
12,2400,-41315.11328125,-7558.81298828125,-21044.0390625,8725.736328125
13,2600,-36910.91796875,-6260.55029296875,-20096.599609375,7736.06982421875
14,2800,-37785.546875,-6312.107421875,-19815.154296875,8058.888671875
15,3000,-39383.16796875,-7191.57373046875,-20350.41796875,8236.6796875
16,3200,-33891.4375,-6844.41552734375,-20055.326171875,7711.15185546875
17,3400,-33658.6875,-7127.748046875,-18185.642578125,6707.02734375
18,3600,-34478.1796875,-7016.7353515625,-18318.392578125,6643.81103515625
19,3800,-34568.66015625,-5971.10888671875,-19000.888671875,7333.0400390625
20,4000,-38845.34765625,-6354.50927734375,-20313.7890625,7842.59765625
21,4200,-41117.11328125,-6798.09130859375,-18037.947265625,8792.3642578125
22,4400,-33675.06640625,-4056.770263671875,-17902.93359375,7324.35302734375
23,4600,-31141.201171875,-8377.701171875,-18405.2109375,6990.75537109375
24,4800,-35394.51953125,-7149.30322265625,-16242.42578125,6698.6962890625
25,5000,-36459.65234375,-4704.4560546875,-18801.6953125,9039.3935546875
26,5200,-35360.2578125,-6111.45703125,-17827.44921875,7541.64208984375
27,5400,-28172.283203125,-5829.77685546875,-17672.455078125,6618.28759765625
28,5600,-33129.56640625,-4455.51904296875,-16228.05078125,7459.3125
29,5800,-29139.3671875,-5050.7197265625,-16843.095703125,7374.23779296875
30,6000,-30020.1875,-5352.6435546875,-17727.408203125,7117.498046875
31,6200,-36170.3984375,-1884.226806640625,-12808.703125,7986.70751953125
32,6400,-42002.39453125,-2023.665771484375,-15416.798828125,8693.142578125
33,6600,-42175.05078125,-6620.50732421875,-17351.5390625,9851.59765625
34,6800,-39970.046875,-4574.275390625,-16979.27734375,8022.7060546875
35,7000,-27469.390625,-4372.2626953125,-14693.453125,7083.69580078125
36,7200,-35118.63671875,-4038.1044921875,-15401.43359375,8001.32421875
37,7400,-29694.88671875,-4266.6455078125,-17056.2578125,7603.90966796875
38,7600,-67165.25,-2146.7529296875,-14631.4794921875,12580.5
39,7800,-10133.451171875,-695.24267578125,-4822.5478515625,2294.369384765625
40,8000,-6246.78369140625,618.6983032226562,-661.5927124023438,1832.551513671875
41,8200,-33678.19921875,-3620.9052734375,-12707.5166015625,7958.798828125
42,8400,-35786.16015625,-2159.2548828125,-14975.697265625,8223.232421875
43,8600,-31530.521484375,-3087.0068359375,-10457.5986328125,5751.97607421875
44,8800,-8025.9013671875,-193.13157653808594,-2974.628662109375,2088.55126953125
45,9000,-37485.08984375,-1345.500244140625,-13742.171875,8670.3037109375
46,9200,-60966.25390625,597.8881225585938,-4372.013671875,11709.638671875
47,9400,-4443.3212890625,707.700927734375,-121.91205596923828,1199.5068359375
48,9600,-33083.2421875,-4215.1708984375,-16472.71875,7494.646484375
49,9800,-25249.59765625,-3972.74560546875,-10445.984375,6140.0947265625
50,10000,-86378.546875,-1959.3489990234375,-15525.458984375,16536.630859375
