epoch,step,min,max,mean,std
1,200,-2.9385745525360107,1.9320005178451538,-0.34723618626594543,0.726003885269165
2,400,-4.093936920166016,1.5025427341461182,-0.9881124496459961,1.0800358057022095
3,600,-6.281810760498047,0.7119384407997131,-1.9844855070114136,1.5884134769439697
4,800,-7.951494216918945,0.08041535317897797,-3.090874671936035,2.0184166431427
5,1000,-9.914990425109863,0.05904453992843628,-4.579771518707275,2.7553937435150146
6,1200,-12.073183059692383,-0.16404664516448975,-6.2105607986450195,3.4812920093536377
7,1400,-14.802327156066895,-0.38370850682258606,-8.197338104248047,4.479499340057373
8,1600,-15.892223358154297,-0.9919725656509399,-9.353935241699219,4.608972549438477
9,1800,-19.102338790893555,-1.063523769378662,-11.445786476135254,5.701047897338867
10,2000,-21.72994613647461,-1.2624335289001465,-13.247169494628906,6.469684600830078
11,2200,-24.29595375061035,-1.8646447658538818,-14.938169479370117,6.963975429534912
12,2400,-26.660388946533203,-2.2393574714660645,-16.759740829467773,7.753814697265625
13,2600,-29.350173950195312,-2.5572633743286133,-18.845550537109375,8.775569915771484
14,2800,-32.3641471862793,-2.556323528289795,-21.012523651123047,9.985074996948242
15,3000,-35.443763732910156,-3.4593169689178467,-22.939077377319336,10.295122146606445
16,3200,-39.03252029418945,-3.453792095184326,-25.333297729492188,11.686333656311035
17,3400,-41.14873123168945,-3.5364131927490234,-27.426197052001953,12.821887969970703
18,3600,-46.928245544433594,-3.6269731521606445,-31.291622161865234,14.698776245117188
19,3800,-54.7037353515625,-3.0779013633728027,-36.153541564941406,17.814002990722656
20,4000,-59.91387939453125,-4.044069290161133,-39.85089111328125,19.129581451416016
21,4200,-65.40472412109375,-3.3219690322875977,-44.08521270751953,21.698657989501953
22,4400,-76.86344146728516,-1.180474042892456,-51.37391662597656,26.468061447143555
23,4600,-85.09852600097656,-4.067202568054199,-57.01118850708008,28.036088943481445
24,4800,-97.30000305175781,-2.1454010009765625,-65.92933654785156,33.034400939941406
25,5000,-111.83557891845703,-1.3142958879470825,-76.3395004272461,38.369537353515625
26,5200,-121.35243225097656,-3.4132449626922607,-83.48486328125,41.457847595214844
27,5400,-142.78929138183594,2.3435535430908203,-98.36318969726562,50.182857513427734
28,5600,-158.63571166992188,-1.1762256622314453,-110.66089630126953,55.53276824951172
29,5800,-178.0421142578125,1.620185136795044,-125.59796142578125,63.173763275146484
30,6000,-199.6664276123047,6.053640842437744,-142.15391540527344,71.96905517578125
31,6200,-231.41973876953125,0.7557012438774109,-165.401611328125,82.07869720458984
32,6400,-259.43524169921875,1.0566339492797852,-186.46185302734375,91.9764404296875
33,6600,-298.9664306640625,2.606257677078247,-215.9896240234375,106.34185028076172
34,6800,-363.607666015625,3.863314151763916,-261.2291259765625,126.78738403320312
35,7000,-351.8951416015625,8.590803146362305,-253.133056640625,123.50961303710938
36,7200,-422.94097900390625,5.066348552703857,-309.687744140625,149.64630126953125
37,7400,-499.789306640625,7.32811164855957,-369.56170654296875,178.79202270507812
38,7600,-541.8082275390625,10.001825332641602,-397.749267578125,191.9156951904297
39,7800,-578.7635498046875,6.555486679077148,-429.602294921875,203.52682495117188
40,8000,-686.9818115234375,9.0393648147583,-511.5672912597656,243.46580505371094
41,8200,-788.6339111328125,13.063247680664062,-590.3944702148438,280.6281433105469
42,8400,-859.597412109375,11.572457313537598,-644.4412231445312,303.78369140625
43,8600,-983.1549682617188,9.464498519897461,-735.775634765625,344.39263916015625
44,8800,-1023.944580078125,6.747050762176514,-773.1181640625,359.6954040527344
45,9000,-1089.24658203125,9.759604454040527,-825.0326538085938,382.58831787109375
46,9200,-1335.345947265625,10.681218147277832,-1015.7706298828125,469.4998474121094
47,9400,-1472.0537109375,12.78337574005127,-1125.54638671875,520.9197998046875
48,9600,-1618.10498046875,14.297585487365723,-1241.970458984375,571.3985595703125
49,9800,-1692.733642578125,17.726245880126953,-1295.84375,594.272216796875
50,10000,-1878.64404296875,21.61531639099121,-1453.1796875,666.2334594726562
