epoch,step,min,max,mean,std
1,200,-79.25936889648438,-79.25936889648438,-79.25936889648438,0.0
2,400,-71.9211654663086,-71.9211654663086,-71.9211654663086,0.0
3,600,-72.69212341308594,-72.69212341308594,-72.69212341308594,0.0
4,800,-66.75474548339844,-66.75474548339844,-66.75474548339844,0.0
5,1000,-69.20455932617188,-69.20455932617188,-69.20455932617188,0.0
6,1200,-67.61410522460938,-67.61410522460938,-67.61410522460938,0.0
7,1400,-69.47882843017578,-69.47882843017578,-69.47882843017578,0.0
8,1600,-57.55326461791992,-57.55326461791992,-57.55326461791992,0.0
9,1800,-59.84031295776367,-59.84031295776367,-59.84031295776367,0.0
10,2000,-57.50787353515625,-57.50787353515625,-57.50787353515625,0.0
11,2200,-53.457847595214844,-53.457847595214844,-53.457847595214844,0.0
12,2400,-52.65521240234375,-52.65521240234375,-52.65521240234375,0.0
13,2600,-53.24752426147461,-53.24752426147461,-53.24752426147461,0.0
14,2800,-54.74860763549805,-54.74860763549805,-54.74860763549805,0.0
15,3000,-50.08604049682617,-50.08604049682617,-50.08604049682617,0.0
16,3200,-52.14694595336914,-52.14694595336914,-52.14694595336914,0.0
17,3400,-52.12936019897461,-52.12936019897461,-52.12936019897461,0.0
18,3600,-54.95361328125,-54.95361328125,-54.95361328125,0.0
19,3800,-62.96123504638672,-62.96123504638672,-62.96123504638672,0.0
20,4000,-62.02979278564453,-62.02979278564453,-62.02979278564453,0.0
21,4200,-65.69446563720703,-65.69446563720703,-65.69446563720703,0.0
22,4400,-74.6735610961914,-74.6735610961914,-74.6735610961914,0.0
23,4600,-74.47224426269531,-74.47224426269531,-74.47224426269531,0.0
24,4800,-81.65589904785156,-81.65589904785156,-81.65589904785156,0.0
25,5000,-89.87434387207031,-89.87434387207031,-89.87434387207031,0.0
26,5200,-91.59827423095703,-91.59827423095703,-91.59827423095703,0.0
27,5400,-103.58685302734375,-103.58685302734375,-103.58685302734375,0.0
28,5600,-109.28099060058594,-109.28099060058594,-109.28099060058594,0.0
29,5800,-117.86380004882812,-117.86380004882812,-117.86380004882812,0.0
30,6000,-128.06382751464844,-128.06382751464844,-128.06382751464844,0.0
31,6200,-139.3057098388672,-139.3057098388672,-139.3057098388672,0.0
32,6400,-148.46456909179688,-148.46456909179688,-148.46456909179688,0.0
33,6600,-163.0433349609375,-163.0433349609375,-163.0433349609375,0.0
34,6800,-187.29678344726562,-187.29678344726562,-187.29678344726562,0.0
35,7000,-172.79776000976562,-172.79776000976562,-172.79776000976562,0.0
36,7200,-200.5173797607422,-200.5173797607422,-200.5173797607422,0.0
37,7400,-228.88580322265625,-228.88580322265625,-228.88580322265625,0.0
38,7600,-236.17283630371094,-236.17283630371094,-236.17283630371094,0.0
39,7800,-241.59332275390625,-241.59332275390625,-241.59332275390625,0.0
40,8000,-277.0469665527344,-277.0469665527344,-277.0469665527344,0.0
41,8200,-304.10784912109375,-304.10784912109375,-304.10784912109375,0.0
42,8400,-319.3319091796875,-319.3319091796875,-319.3319091796875,0.0
43,8600,-349.365966796875,-349.365966796875,-349.365966796875,0.0
44,8800,-349.0553894042969,-349.0553894042969,-349.0553894042969,0.0
45,9000,-358.92584228515625,-358.92584228515625,-358.92584228515625,0.0
46,9200,-426.92047119140625,-426.92047119140625,-426.92047119140625,0.0
47,9400,-451.9318542480469,-451.9318542480469,-451.9318542480469,0.0
48,9600,-480.8477478027344,-480.8477478027344,-480.8477478027344,0.0
49,9800,-485.6201171875,-485.6201171875,-485.6201171875,0.0
50,10000,-524.234619140625,-524.234619140625,-524.234619140625,0.0
