epoch,step,min,max,mean,std
1,200,-8.913991928100586,2.0355064868927,-2.37701416015625,2.1182823181152344
2,400,-18.09584617614746,0.14376771450042725,-8.030733108520508,3.7738265991210938
3,600,-26.602785110473633,0.1006084531545639,-16.36723518371582,4.8709330558776855
4,800,-35.909488677978516,0.08581355214118958,-26.064960479736328,5.116767406463623
5,1000,-47.03628921508789,-0.002014987636357546,-35.11811828613281,5.35159158706665
6,1200,-55.82132339477539,0.02392265945672989,-41.946998596191406,5.470527648925781
7,1400,-59.19966506958008,0.06691381335258484,-44.58221435546875,5.146389961242676
8,1600,-63.68307876586914,0.0657663568854332,-48.61309051513672,5.207534313201904
9,1800,-64.46852111816406,0.051117245107889175,-50.00060272216797,5.071660995483398
10,2000,-65.65188598632812,0.0938168466091156,-52.59146499633789,5.174252510070801
11,2200,-61.85980987548828,0.03599715232849121,-49.098934173583984,4.63865327835083
12,2400,-61.51947784423828,-0.021152043715119362,-50.81492614746094,4.7334747314453125
13,2600,-59.8270378112793,-0.053710199892520905,-48.013912200927734,4.488255500793457
14,2800,-62.59326171875,-0.08103372156620026,-51.235435485839844,4.845239162445068
15,3000,-72.9837417602539,-0.05234651640057564,-59.407230377197266,5.372016429901123
16,3200,-59.17144012451172,-0.02631554938852787,-49.51200866699219,5.230250835418701
17,3400,-42.76618576049805,0.01376346405595541,-34.52173614501953,3.0532238483428955
18,3600,-80.25927734375,-0.15490326285362244,-67.24851989746094,6.448243618011475
19,3800,-33.801517486572266,-0.04049423336982727,-27.860828399658203,2.769202709197998
20,4000,-65.73062896728516,-0.02731160819530487,-55.87752151489258,5.116072654724121
21,4200,-26.684375762939453,-0.10004308819770813,-20.24700164794922,2.7698352336883545
22,4400,-54.05963134765625,0.016441605985164642,-43.33759307861328,4.47316837310791
23,4600,-68.99838256835938,-0.02086884155869484,-57.49793243408203,5.396346092224121
24,4800,-56.22047424316406,-0.20586983859539032,-46.18589782714844,4.191091537475586
25,5000,-75.31110382080078,0.30204567313194275,-57.21820831298828,10.562066078186035
26,5200,-81.18046569824219,0.08870148658752441,-64.63310241699219,6.161427021026611
27,5400,-32.79730224609375,0.07925903797149658,-20.264049530029297,6.3161940574646
28,5600,-10.673752784729004,22.778461456298828,4.361276626586914,9.616732597351074
29,5800,-39.48786926269531,0.2369307577610016,-22.842498779296875,6.4777116775512695
30,6000,-90.26847076416016,0.560418426990509,-67.539794921875,9.396921157836914
31,6200,-38.55584716796875,0.3153349757194519,-21.338573455810547,8.859539031982422
32,6400,-78.4774169921875,1.2675247192382812,-54.01567077636719,12.502266883850098
33,6600,-73.2184066772461,1.3001405000686646,-49.997833251953125,11.7433443069458
34,6800,-49.07222366333008,0.40786030888557434,-29.752826690673828,9.942211151123047
35,7000,-280.6832580566406,0.6268662214279175,-220.80587768554688,31.38922119140625
36,7200,-98.20743560791016,0.45785507559776306,-61.93663024902344,19.66197395324707
37,7400,-128.21348571777344,0.6088258624076843,-98.13487243652344,15.448759078979492
38,7600,-109.66609191894531,0.3315960168838501,-66.17430114746094,19.644638061523438
39,7800,-80.5384292602539,-0.14397454261779785,-39.72803497314453,18.56708526611328
40,8000,-201.93429565429688,1.4552838802337646,-144.0673828125,22.284683227539062
41,8200,-197.97488403320312,2.950836420059204,-140.87229919433594,26.839441299438477
42,8400,-105.49833679199219,0.7558721303939819,-71.45828247070312,13.736395835876465
43,8600,-127.2269287109375,0.41189196705818176,-60.59056854248047,30.103837966918945
44,8800,0.026653405278921127,215.91793823242188,132.1087646484375,15.932988166809082
45,9000,-147.13241577148438,2.334610939025879,-99.5777816772461,20.767818450927734
46,9200,-90.90980529785156,58.879310607910156,-14.464567184448242,33.78022003173828
47,9400,-358.20941162109375,2.913428783416748,-266.5374755859375,42.18801498413086
48,9600,-216.25732421875,1.291762113571167,-151.44866943359375,29.06861686706543
49,9800,-106.21244049072266,25.203338623046875,-32.51136779785156,29.293399810791016
50,10000,-248.31613159179688,4.705338478088379,-163.84686279296875,42.63518142700195
