epoch,step,min,max,mean,std
1,200,-163.47161865234375,-163.47161865234375,-163.47161865234375,0.0
2,400,-162.53793334960938,-162.53793334960938,-162.53793334960938,0.0
3,600,-150.23794555664062,-150.23794555664062,-150.23794555664062,0.0
4,800,-138.93756103515625,-138.93756103515625,-138.93756103515625,0.0
5,1000,-128.78004455566406,-128.78004455566406,-128.78004455566406,0.0
6,1200,-115.54484558105469,-115.54484558105469,-115.54484558105469,0.0
7,1400,-97.62330627441406,-97.62330627441406,-97.62330627441406,0.0
8,1600,-89.9214096069336,-89.9214096069336,-89.9214096069336,0.0
9,1800,-80.02127075195312,-80.02127075195312,-80.02127075195312,0.0
10,2000,-73.47618103027344,-73.47618103027344,-73.47618103027344,0.0
11,2200,-60.458740234375,-60.458740234375,-60.458740234375,0.0
12,2400,-55.872581481933594,-55.872581481933594,-55.872581481933594,0.0
13,2600,-48.38908767700195,-48.38908767700195,-48.38908767700195,0.0
14,2800,-48.253807067871094,-48.253807067871094,-48.253807067871094,0.0
15,3000,-49.59446716308594,-49.59446716308594,-49.59446716308594,0.0
16,3200,-40.26585006713867,-40.26585006713867,-40.26585006713867,0.0
17,3400,-25.69327163696289,-25.69327163696289,-25.69327163696289,0.0
18,3600,-45.7494010925293,-45.7494010925293,-45.7494010925293,0.0
19,3800,-19.44681167602539,-19.44681167602539,-19.44681167602539,0.0
20,4000,-33.55060577392578,-33.55060577392578,-33.55060577392578,0.0
21,4200,-14.222953796386719,-14.222953796386719,-14.222953796386719,0.0
22,4400,-24.400358200073242,-24.400358200073242,-24.400358200073242,0.0
23,4600,-28.52300262451172,-28.52300262451172,-28.52300262451172,0.0
24,4800,-23.399917602539062,-23.399917602539062,-23.399917602539062,0.0
25,5000,-27.651119232177734,-27.651119232177734,-27.651119232177734,0.0
26,5200,-29.574060440063477,-29.574060440063477,-29.574060440063477,0.0
27,5400,-12.635354995727539,-12.635354995727539,-12.635354995727539,0.0
28,5600,-5.336835861206055,-5.336835861206055,-5.336835861206055,0.0
29,5800,-13.554953575134277,-13.554953575134277,-13.554953575134277,0.0
30,6000,-28.40023422241211,-28.40023422241211,-28.40023422241211,0.0
31,6200,-11.48143482208252,-11.48143482208252,-11.48143482208252,0.0
32,6400,-22.98980712890625,-22.98980712890625,-22.98980712890625,0.0
33,6600,-21.792049407958984,-21.792049407958984,-21.792049407958984,0.0
34,6800,-14.266597747802734,-14.266597747802734,-14.266597747802734,0.0
35,7000,-69.29149627685547,-69.29149627685547,-69.29149627685547,0.0
36,7200,-25.200334548950195,-25.200334548950195,-25.200334548950195,0.0
37,7400,-30.904434204101562,-30.904434204101562,-30.904434204101562,0.0
38,7600,-23.78522491455078,-23.78522491455078,-23.78522491455078,0.0
39,7800,-16.405723571777344,-16.405723571777344,-16.405723571777344,0.0
40,8000,-41.490516662597656,-41.490516662597656,-41.490516662597656,0.0
41,8200,-42.54594421386719,-42.54594421386719,-42.54594421386719,0.0
42,8400,-23.322856903076172,-23.322856903076172,-23.322856903076172,0.0
43,8600,-24.597063064575195,-24.597063064575195,-24.597063064575195,0.0
44,8800,23.252487182617188,23.252487182617188,23.252487182617188,0.0
45,9000,-30.977033615112305,-30.977033615112305,-30.977033615112305,0.0
46,9200,-11.456764221191406,-11.456764221191406,-11.456764221191406,0.0
47,9400,-62.21355438232422,-62.21355438232422,-62.21355438232422,0.0
48,9600,-37.49200439453125,-37.49200439453125,-37.49200439453125,0.0
49,9800,-16.91438102722168,-16.91438102722168,-16.91438102722168,0.0
50,10000,-44.08460235595703,-44.08460235595703,-44.08460235595703,0.0
