epoch,step,min,max,mean,std
1,100,-147214.078125,-2651.771484375,-58774.89453125,36101.65234375
2,200,-458507.125,-2631.479248046875,-71360.8828125,93126.4609375
3,300,-140347.796875,-4916.52197265625,-51348.08984375,34040.8828125
4,400,-169126.53125,-292.3747863769531,-52705.3125,35016.203125
5,500,-76011.1796875,-8231.2060546875,-43429.8515625,20592.484375
6,600,-109657.4921875,-1247.0078125,-55506.03125,28735.478515625
7,700,-96129.8046875,-13945.37890625,-41280.5625,19812.771484375
8,800,-402645.5625,-2473.568115234375,-61074.42578125,81853.1796875
9,900,-77777.796875,-1406.710693359375,-36060.5625,20040.708984375
10,1000,-193974.84375,-970.3240356445312,-60136.64453125,56178.02734375
