epoch,step,min,max,mean,std
1,100,-0.002258789027109742,0.0028458053711801767,6.137204309197841e-06,0.00022436919971369207
2,200,-0.002001736778765917,0.0021871314384043217,-8.478666586597683e-07,0.00018611093400977552
3,300,-0.0012515605194494128,0.0011937335366383195,6.316379767667968e-06,0.00012927319039590657
4,400,-0.0014319136971607804,0.0018630421254783869,9.428396765542857e-07,0.00016287928156089038
5,500,-0.0025788811035454273,0.0019244857830926776,-7.933424058137462e-06,0.00018746322894003242
6,600,-0.0020158698316663504,0.001791923656128347,1.327149334429123e-06,0.00014497058873530477
7,700,-0.0019181993557140231,0.0011178373824805021,-2.4324435798916966e-05,0.00014083752466831356
8,800,-0.001164318178780377,0.0016153055476024747,-8.79760136740515e-07,0.00011258534505032003
9,900,-0.0016193327028304338,0.001625612610951066,-1.4375514183484484e-05,0.00012781622353941202
10,1000,-0.0010052919387817383,0.00155672337859869,9.473552381678019e-06,0.0001188588430522941
