epoch,step,min,max,mean,std
1,100,-0.19132262468338013,0.12069261819124222,-0.005157741717994213,0.027982646599411964
2,200,-0.12457332015037537,0.14302489161491394,-0.002692473353818059,0.024646228179335594
3,300,-0.20044675469398499,0.14448772370815277,-0.006950631272047758,0.02879897691309452
4,400,-0.1485615372657776,0.14768458902835846,-0.0015705086989328265,0.027096906676888466
5,500,-0.19844308495521545,0.07742445915937424,-0.013708674348890781,0.02603652887046337
6,600,-0.10554251819849014,0.11823680996894836,0.0008705100626684725,0.024194279685616493
7,700,-0.1720857471227646,0.10604546219110489,-0.006287133786827326,0.030209720134735107
8,800,-0.13269922137260437,0.1417379379272461,0.00632184324786067,0.029409991577267647
9,900,-0.11549332737922668,0.1243368461728096,0.0033738974016159773,0.02704593725502491
10,1000,-0.14931713044643402,0.35367894172668457,-0.0003852634981740266,0.03731899708509445
