epoch,step,min,max,mean,std
1,100,-0.1983126997947693,0.2663590610027313,-0.0014426670968532562,0.03255429118871689
2,200,-0.7435121536254883,0.7846196889877319,0.004173045512288809,0.09895744919776917
3,300,-5.2845659255981445,4.9681830406188965,0.026149647310376167,0.6358000040054321
4,400,-5.777280807495117,5.450814247131348,0.010850941762328148,0.689163088798523
5,500,-8.065084457397461,5.5721869468688965,0.03391779959201813,0.7714115977287292
6,600,-4.772519111633301,6.23197078704834,0.025279575958848,0.6822192072868347
7,700,-5.851266384124756,7.49700403213501,0.014456181786954403,0.8982446193695068
8,800,-4.342074871063232,4.293148517608643,0.02834690362215042,0.6222569942474365
9,900,-6.577398300170898,5.783341407775879,0.039482779800891876,0.9140337109565735
10,1000,-5.044304370880127,5.999579906463623,0.022181766107678413,0.7763692736625671
