epoch,step,min,max,mean,std
1,100,-0.0028176410123705864,0.0010539308423176408,-0.00047390966210514307,0.0007097767665982246
2,200,-0.001205327920615673,0.0009506086353212595,3.3036865261237836e-06,0.0003416334220673889
3,300,-0.0009456768748350441,0.0007476479513570666,4.964182517142035e-05,0.0002533855731599033
4,400,-0.0011907742591574788,0.0011411817977204919,2.598523315100465e-05,0.00034186229459010065
5,500,-0.0011207623174414039,0.0017388416454195976,-1.6255002265097573e-05,0.00042773433960974216
6,600,-0.003327008103951812,0.0014574751257896423,6.870063225505874e-05,0.0005847259890288115
7,700,-0.0015108915977180004,0.001160242478363216,5.292337846185546e-06,0.00034920917823910713
8,800,-0.003146348288282752,0.0018727912101894617,6.717709766235203e-05,0.0006468721549026668
9,900,-0.0010813199914991856,0.0011020221281796694,-6.724386184941977e-05,0.0003823743900284171
10,1000,-0.0018776346696540713,0.002164004370570183,1.2239228453836404e-05,0.0006025515613146126
