epoch,step,min,max,mean,std
1,200,-11452.5029296875,4479.853515625,-2154.968994140625,2351.4921875
2,400,-5210.6953125,733.576171875,-1310.2313232421875,1002.5320434570312
3,600,-2135.17431640625,401.3755187988281,-688.8108520507812,482.9997253417969
4,800,-1556.8740234375,369.71575927734375,-413.2349853515625,314.67529296875
5,1000,-1288.57373046875,693.3134765625,-295.2224426269531,316.6117248535156
6,1200,-1026.1024169921875,543.0477294921875,-236.7777099609375,265.3754577636719
7,1400,-1121.787109375,470.3852844238281,-113.25151062011719,232.2732696533203
8,1600,-1462.7388916015625,716.7800903320312,-203.67303466796875,314.51708984375
9,1800,-1204.62255859375,470.5894470214844,-150.85560607910156,286.3108215332031
10,2000,-827.23583984375,525.1123046875,-118.14378356933594,251.09640502929688
11,2200,-1345.194091796875,979.7511596679688,-29.61900520324707,396.4549865722656
12,2400,-909.2312622070312,405.3226318359375,-104.15059661865234,212.45181274414062
13,2600,-812.1160888671875,568.3204345703125,-63.19073486328125,234.2241668701172
14,2800,-916.5567016601562,614.0254516601562,-70.70701599121094,224.08001708984375
15,3000,-1530.980224609375,1073.9488525390625,-117.97390747070312,407.25146484375
16,3200,-1353.664794921875,968.1063232421875,-147.032958984375,336.545654296875
17,3400,-1147.0704345703125,878.0169067382812,-36.37020492553711,325.57989501953125
18,3600,-921.62646484375,664.0557861328125,-88.67948913574219,272.9478759765625
19,3800,-1693.7320556640625,1120.6279296875,-91.91275024414062,331.3125
20,4000,-1296.20703125,1169.671630859375,-39.049625396728516,380.3902893066406
21,4200,-1924.129150390625,1034.5538330078125,-174.41769409179688,484.6094970703125
22,4400,-1261.9393310546875,1230.02099609375,2.0876293182373047,434.3187255859375
23,4600,-1578.1502685546875,1212.393798828125,-146.32147216796875,420.19970703125
24,4800,-1965.313232421875,1446.896484375,-110.36214447021484,630.1156616210938
25,5000,-1404.669677734375,1852.808837890625,-0.19993209838867188,519.060791015625
26,5200,-1411.3028564453125,2083.35986328125,-16.27696990966797,588.4530639648438
27,5400,-2486.1640625,1737.9703369140625,-115.01504516601562,671.8500366210938
28,5600,-2754.002197265625,2447.963623046875,-154.00875854492188,809.8828125
29,5800,-2984.3974609375,3409.8203125,-22.914918899536133,1040.8304443359375
30,6000,-1538.6483154296875,1957.308837890625,100.98551940917969,666.3318481445312
31,6200,-2637.934326171875,2738.069580078125,174.36273193359375,719.308349609375
32,6400,-2234.67333984375,2175.643310546875,-197.79074096679688,707.3560180664062
33,6600,-2862.974853515625,3157.3759765625,-74.89238739013672,860.9176025390625
34,6800,-7244.72900390625,6396.26953125,-104.15741729736328,1862.029052734375
35,7000,-3435.137451171875,2410.31591796875,-251.22683715820312,948.2977294921875
36,7200,-6940.88134765625,5518.29296875,-53.802085876464844,1982.2552490234375
37,7400,-4333.47216796875,4053.557373046875,-13.611227035522461,1263.2158203125
38,7600,-7905.044921875,6887.92041015625,-343.0884094238281,1645.06396484375
39,7800,-13126.9736328125,10298.017578125,-112.63602447509766,3026.0283203125
40,8000,-4016.093017578125,3476.505859375,25.694541931152344,1418.768310546875
41,8200,-2494.3623046875,2227.47021484375,-58.66991424560547,755.82373046875
42,8400,-2933.615234375,2580.569091796875,-201.0106658935547,760.0916748046875
43,8600,-6789.07080078125,8517.1884765625,61.992042541503906,2366.260498046875
44,8800,-2798.677001953125,2350.57470703125,-86.43153381347656,750.2899169921875
45,9000,-4759.0419921875,4664.4150390625,-227.64309692382812,1029.1844482421875
46,9200,-6674.9365234375,6600.46240234375,103.07056427001953,1373.3104248046875
47,9400,-4388.7490234375,3805.75244140625,-233.12075805664062,1341.1041259765625
48,9600,-2545.753662109375,1725.8880615234375,-111.1148910522461,562.9209594726562
49,9800,-1508.230712890625,1736.7108154296875,-89.4858627319336,491.36431884765625
50,10000,-5723.4775390625,5098.3310546875,0.8445053100585938,1526.1177978515625
