epoch,step,min,max,mean,std
1,200,-94377.25,40070.546875,-24443.828125,34124.0234375
2,400,-34808.78125,7407.24658203125,-6512.2578125,10505.357421875
3,600,-14250.365234375,4631.58349609375,-2720.5068359375,5038.37255859375
4,800,-8134.1044921875,2401.71728515625,-1219.855712890625,2588.721435546875
5,1000,-6522.1396484375,5565.0439453125,-1309.1539306640625,2739.29150390625
6,1200,-8032.8486328125,3279.49462890625,-1185.3997802734375,2827.320556640625
7,1400,-3990.86669921875,5130.806640625,137.3790283203125,2575.029296875
8,1600,-3004.4697265625,7423.4365234375,777.0662231445312,2925.271728515625
9,1800,-2941.9306640625,7586.44921875,478.2572937011719,2364.7333984375
10,2000,-4414.578125,4995.05419921875,-494.3204650878906,2132.973876953125
11,2200,-5269.21044921875,9709.63671875,993.597412109375,3194.52294921875
12,2400,-4236.626953125,2762.6513671875,-202.42591857910156,1622.162353515625
13,2600,-7967.1142578125,6953.6943359375,576.1476440429688,2635.78662109375
14,2800,-4967.236328125,2728.3740234375,46.853851318359375,1959.6309814453125
15,3000,-6269.77197265625,8682.5400390625,-161.0695037841797,3177.73779296875
16,3200,-5262.35546875,5863.6591796875,-56.73826599121094,2636.751953125
17,3400,-4821.00390625,4173.2685546875,-239.9463348388672,2126.7607421875
18,3600,-4756.6552734375,6103.5380859375,-258.1965637207031,2542.845947265625
19,3800,-5653.23291015625,6871.310546875,334.4156188964844,3267.062744140625
20,4000,-8230.306640625,3453.240234375,-1118.05126953125,2692.904052734375
21,4200,-6910.6455078125,8191.5361328125,-346.9682922363281,3408.38427734375
22,4400,-8382.3623046875,7916.38525390625,884.792724609375,3860.223388671875
23,4600,-9152.05078125,4320.0341796875,-821.000732421875,3588.186767578125
24,4800,-13829.0869140625,5845.8544921875,-333.1806640625,4236.64794921875
25,5000,-18749.814453125,10031.8232421875,-87.95703125,5110.734375
26,5200,-19990.67578125,5676.013671875,-1295.4840087890625,5510.22314453125
27,5400,-19153.873046875,13419.099609375,-558.41015625,6009.8408203125
28,5600,-25464.798828125,12599.51953125,-1056.4722900390625,7459.17578125
29,5800,-14192.359375,13103.0087890625,181.021484375,6842.75927734375
30,6000,-5589.50390625,8726.64453125,688.0952758789062,4284.18115234375
31,6200,-14026.470703125,10534.6513671875,-68.7155990600586,5379.638671875
32,6400,-7318.43408203125,18680.4296875,187.14781188964844,5702.58447265625
33,6600,-17972.583984375,12126.54296875,-879.9309692382812,7580.7412109375
34,6800,-17525.7265625,28645.783203125,2167.9462890625,9633.044921875
35,7000,-10907.41015625,11426.26953125,108.67301177978516,5370.25439453125
36,7200,-25851.19140625,24560.736328125,-441.3260192871094,10431.228515625
37,7400,-10743.1572265625,24753.318359375,2466.321533203125,8643.6611328125
38,7600,-47540.08203125,20390.734375,-1668.8382568359375,13661.1884765625
39,7800,-23560.927734375,52454.2890625,5489.51123046875,15205.138671875
40,8000,-8637.2255859375,30799.263671875,3423.83984375,10285.79296875
41,8200,-5726.0908203125,7453.3505859375,1147.9969482421875,3215.63037109375
42,8400,-9994.615234375,14306.5146484375,232.1903533935547,5813.462890625
43,8600,-38437.03125,19876.767578125,-3771.714111328125,15173.99609375
44,8800,-14488.240234375,12617.064453125,-916.5870971679688,6123.31982421875
45,9000,-24445.638671875,13502.451171875,-493.6014099121094,8148.2275390625
46,9200,-13512.9384765625,32515.126953125,2096.7060546875,11180.38671875
47,9400,-22782.01953125,24491.7421875,196.330322265625,10588.865234375
48,9600,-12409.0517578125,6405.2197265625,-849.8054809570312,4808.34033203125
49,9800,-5977.10107421875,8687.384765625,309.5494384765625,2998.565185546875
50,10000,-31790.654296875,30901.14453125,-3693.909423828125,12716.03125
