epoch,step,min,max,mean,std
1,200,-45735.78125,18978.15625,-2452.943603515625,6471.80810546875
2,400,-17891.935546875,8981.0615234375,-938.6162719726562,2888.869140625
3,600,-9723.841796875,7203.13134765625,-433.3724060058594,1746.291259765625
4,800,-6305.99560546875,6245.50244140625,-254.7804718017578,1199.68896484375
5,1000,-7631.05859375,6231.24755859375,-288.603271484375,1247.3631591796875
6,1200,-7255.86572265625,5443.2197265625,-228.1397705078125,1274.7275390625
7,1400,-4197.75048828125,6148.98974609375,170.6104736328125,1217.13720703125
8,1600,-2869.081298828125,6089.31201171875,309.7106628417969,1205.3228759765625
9,1800,-3828.629638671875,6749.91357421875,224.88763427734375,1142.3548583984375
10,2000,-6649.33203125,4120.4921875,-151.28245544433594,1068.3326416015625
11,2200,-4375.93408203125,8232.79296875,393.183349609375,1367.41357421875
12,2400,-4096.24609375,5561.7626953125,-16.66861343383789,926.7941284179688
13,2600,-6605.677734375,7251.53515625,202.1929931640625,1260.5166015625
14,2800,-5273.15283203125,4221.57177734375,12.90576171875,1073.74560546875
15,3000,-5538.94970703125,7401.85693359375,-40.42387008666992,1508.78466796875
16,3200,-4342.1748046875,5412.5966796875,0.8167724609375,1197.9576416015625
17,3400,-4762.3017578125,5241.4072265625,26.14127540588379,1164.6787109375
18,3600,-5786.974609375,5357.59033203125,-77.68257904052734,1283.0933837890625
19,3800,-6168.0087890625,6542.9853515625,218.6704864501953,1501.2110595703125
20,4000,-9509.4765625,4845.04443359375,-434.1209716796875,1447.229248046875
21,4200,-6819.1328125,8998.9150390625,-37.14534378051758,1714.239501953125
22,4400,-7607.966796875,7883.28759765625,300.5566711425781,2004.2427978515625
23,4600,-8336.1201171875,6813.15087890625,-248.9916534423828,1730.38818359375
24,4800,-14151.787109375,8685.2060546875,-55.61053466796875,2197.7978515625
25,5000,-18551.337890625,10871.333984375,-28.423208236694336,2510.364501953125
26,5200,-27450.294921875,8832.052734375,-614.5919799804688,3425.26025390625
27,5400,-23710.345703125,15001.0126953125,-209.5298614501953,2945.539794921875
28,5600,-22670.46484375,11099.28515625,-351.46044921875,3371.927001953125
29,5800,-35610.8125,15307.8525390625,93.5921630859375,3971.817138671875
30,6000,-10411.21875,17184.83203125,346.992431640625,2876.822998046875
31,6200,-21186.404296875,16157.0283203125,-125.57402801513672,3306.728271484375
32,6400,-11712.0244140625,23220.01171875,121.29998016357422,3133.344482421875
33,6600,-18904.13671875,11971.1953125,-330.18206787109375,3828.773681640625
34,6800,-20092.69921875,32568.595703125,948.1077270507812,4955.46044921875
35,7000,-18506.16015625,23870.97265625,-9.79450511932373,3542.3037109375
36,7200,-28944.0859375,26970.962890625,-114.6573486328125,5519.41748046875
37,7400,-24204.494140625,36766.76953125,1248.3316650390625,6149.28369140625
38,7600,-79823.0390625,32092.482421875,-632.0233154296875,6946.7919921875
39,7800,-29162.203125,59177.8359375,2283.696044921875,8219.943359375
40,8000,-24935.859375,68173.8828125,1290.693359375,7051.83642578125
41,8200,-11982.7734375,11899.3251953125,339.7178039550781,2541.58935546875
42,8400,-17500.267578125,28835.6875,121.3228988647461,3807.512939453125
43,8600,-38501.15625,20191.548828125,-1423.5482177734375,7132.150390625
44,8800,-21579.658203125,16497.447265625,-242.2986297607422,3459.241943359375
45,9000,-42382.9140625,23472.359375,-195.4612579345703,4331.013671875
46,9200,-31480.333984375,71283.015625,1008.2962036132812,7610.9423828125
47,9400,-42792.59765625,37524.4375,81.46826171875,6521.142578125
48,9600,-19002.115234375,10211.51953125,-345.9615783691406,2594.810791015625
49,9800,-7174.5908203125,12609.212890625,214.9590606689453,1814.3304443359375
50,10000,-36344.2421875,35856.078125,-1485.2327880859375,6210.859375
