epoch,step,min,max,mean,std
1,200,-13.037647247314453,8.334473609924316,-0.5215940475463867,3.340229034423828
2,400,-11.433866500854492,16.964433670043945,0.9994688034057617,5.896920204162598
3,600,-12.116381645202637,27.938905715942383,3.810314655303955,10.603323936462402
4,800,-16.080097198486328,39.92420959472656,6.844040393829346,17.201879501342773
5,1000,-19.114765167236328,42.57123565673828,7.435122013092041,20.395278930664062
6,1200,-21.998554229736328,71.36173248291016,16.602046966552734,32.237979888916016
7,1400,-29.44828987121582,82.00667572021484,18.828699111938477,39.536903381347656
8,1600,-30.720354080200195,122.44170379638672,33.36954879760742,55.8952751159668
9,1800,-35.918575286865234,126.49341583251953,33.76301956176758,60.11222839355469
10,2000,-39.97776794433594,118.79367065429688,30.035751342773438,59.447669982910156
11,2200,-44.361610412597656,160.1962127685547,44.50468826293945,77.81620788574219
12,2400,-42.20839309692383,200.17156982421875,61.19627380371094,94.39803314208984
13,2600,-46.643898010253906,201.33944702148438,61.32907485961914,97.79578399658203
14,2800,-54.536617279052734,152.3238525390625,39.517433166503906,81.1103286743164
15,3000,-49.41986083984375,207.2345428466797,63.139591217041016,102.40916442871094
16,3200,-55.06493377685547,187.56504821777344,53.42552185058594,97.02979278564453
17,3400,-57.032039642333984,206.7633819580078,60.817535400390625,106.29072570800781
18,3600,-59.298770904541016,169.67543029785156,45.67455291748047,92.69549560546875
19,3800,-61.029388427734375,216.55911254882812,63.927001953125,113.21870422363281
20,4000,-64.1488265991211,179.2763214111328,48.13801193237305,99.62417602539062
21,4200,-70.29733276367188,167.17770385742188,40.528236389160156,97.1016616821289
22,4400,-64.94708251953125,166.03436279296875,42.24468231201172,94.99803161621094
23,4600,-93.06265258789062,118.30882263183594,12.199904441833496,86.46253204345703
24,4800,-60.74315643310547,82.94269561767578,10.390304565429688,59.14212417602539
25,5000,-92.51219177246094,151.1277313232422,25.603553771972656,100.96430206298828
26,5200,-105.49754333496094,98.00837707519531,-0.8840756416320801,84.74349975585938
27,5400,-88.99503326416016,103.85736083984375,7.5093817710876465,80.01984405517578
28,5600,-117.22434997558594,51.62968063354492,-25.66645622253418,70.7352294921875
29,5800,-125.71295928955078,62.480228424072266,-24.527307510375977,78.9424057006836
30,6000,-112.54642486572266,39.971435546875,-29.132835388183594,64.3836669921875
31,6200,-257.7712707519531,28.873149871826172,-92.7842025756836,122.22151947021484
32,6400,-259.3194274902344,49.733272552490234,-85.31761169433594,132.53480529785156
33,6600,-310.0636901855469,9.601763725280762,-123.44021606445312,137.8577117919922
34,6800,-366.1260070800781,25.210357666015625,-141.155517578125,170.11614990234375
35,7000,-383.26739501953125,1.7684725522994995,-161.01388549804688,167.259033203125
36,7200,-478.3923034667969,8.165714263916016,-197.47100830078125,212.93310546875
37,7400,-598.8115234375,46.70772933959961,-230.2415313720703,283.3595275878906
38,7600,-852.8607788085938,0.0,-378.2599182128906,359.3134765625
39,7800,-709.8350219726562,24.296039581298828,-290.5731201171875,324.1690368652344
40,8000,-876.3285522460938,11.6532564163208,-368.404296875,393.52471923828125
41,8200,-1262.6900634765625,3.704130172729492,-535.9995727539062,566.1341552734375
42,8400,-1550.5772705078125,126.56864166259766,-603.4913330078125,747.2340698242188
43,8600,-1740.410400390625,0.0,-749.9149169921875,774.3884887695312
44,8800,-1688.5128173828125,15.270393371582031,-718.9093017578125,765.7535400390625
45,9000,-2948.2822265625,27.71918296813965,-1251.8681640625,1339.2547607421875
46,9200,-3378.7509765625,12.786734580993652,-1450.3038330078125,1533.17333984375
47,9400,-4553.400390625,0.0,-1971.992919921875,2057.39599609375
48,9600,-4833.3876953125,46.42620849609375,-2061.109619140625,2217.6328125
49,9800,-6428.4755859375,29.011096954345703,-2763.716796875,2940.084228515625
50,10000,-7379.16552734375,32.3571891784668,-3180.14892578125,3380.770263671875
