epoch,step,min,max,mean,std
1,200,-17.444744110107422,-17.444744110107422,-17.444744110107422,0.0
2,400,-7.660840034484863,-7.660840034484863,-7.660840034484863,0.0
3,600,-0.9668169021606445,-0.9668169021606445,-0.9668169021606445,0.0
4,800,-0.7866098284721375,-0.7866098284721375,-0.7866098284721375,0.0
5,1000,-3.732118606567383,-3.732118606567383,-3.732118606567383,0.0
6,1200,3.262556791305542,3.262556791305542,3.262556791305542,0.0
7,1400,-0.349447101354599,-0.349447101354599,-0.349447101354599,0.0
8,1600,5.720789909362793,5.720789909362793,5.720789909362793,0.0
9,1800,3.4287939071655273,3.4287939071655273,3.4287939071655273,0.0
10,2000,0.9289001226425171,0.9289001226425171,0.9289001226425171,0.0
11,2200,3.015063524246216,3.015063524246216,3.015063524246216,0.0
12,2400,6.981731414794922,6.981731414794922,6.981731414794922,0.0
13,2600,5.603808879852295,5.603808879852295,5.603808879852295,0.0
14,2800,-0.8360773921012878,-0.8360773921012878,-0.8360773921012878,0.0
15,3000,3.4876980781555176,3.4876980781555176,3.4876980781555176,0.0
16,3200,0.3652142286300659,0.3652142286300659,0.3652142286300659,0.0
17,3400,2.616189479827881,2.616189479827881,2.616189479827881,0.0
18,3600,-1.311970829963684,-1.311970829963684,-1.311970829963684,0.0
19,3800,0.45326441526412964,0.45326441526412964,0.45326441526412964,0.0
20,4000,-0.7383337616920471,-0.7383337616920471,-0.7383337616920471,0.0
21,4200,-1.6053153276443481,-1.6053153276443481,-1.6053153276443481,0.0
22,4400,-1.0800409317016602,-1.0800409317016602,-1.0800409317016602,0.0
23,4600,-6.657191276550293,-6.657191276550293,-6.657191276550293,0.0
24,4800,-3.963010787963867,-3.963010787963867,-3.963010787963867,0.0
25,5000,-4.565296173095703,-4.565296173095703,-4.565296173095703,0.0
26,5200,-7.006868839263916,-7.006868839263916,-7.006868839263916,0.0
27,5400,-5.874377250671387,-5.874377250671387,-5.874377250671387,0.0
28,5600,-9.608917236328125,-9.608917236328125,-9.608917236328125,0.0
29,5800,-10.118675231933594,-10.118675231933594,-10.118675231933594,0.0
30,6000,-8.794076919555664,-8.794076919555664,-8.794076919555664,0.0
31,6200,-17.528522491455078,-17.528522491455078,-17.528522491455078,0.0
32,6400,-16.12887954711914,-16.12887954711914,-16.12887954711914,0.0
33,6600,-18.69400978088379,-18.69400978088379,-18.69400978088379,0.0
34,6800,-20.80255889892578,-20.80255889892578,-20.80255889892578,0.0
35,7000,-22.791643142700195,-22.791643142700195,-22.791643142700195,0.0
36,7200,-23.95581817626953,-23.95581817626953,-23.95581817626953,0.0
37,7400,-27.380496978759766,-27.380496978759766,-27.380496978759766,0.0
38,7600,-37.596649169921875,-37.596649169921875,-37.596649169921875,0.0
39,7800,-32.83859634399414,-32.83859634399414,-32.83859634399414,0.0
40,8000,-40.604148864746094,-40.604148864746094,-40.604148864746094,0.0
41,8200,-47.85682678222656,-47.85682678222656,-47.85682678222656,0.0
42,8400,-51.40627670288086,-51.40627670288086,-51.40627670288086,0.0
43,8600,-58.424224853515625,-58.424224853515625,-58.424224853515625,0.0
44,8800,-58.84150314331055,-58.84150314331055,-58.84150314331055,0.0
45,9000,-82.06214141845703,-82.06214141845703,-82.06214141845703,0.0
46,9200,-88.4516372680664,-88.4516372680664,-88.4516372680664,0.0
47,9400,-118.17127990722656,-118.17127990722656,-118.17127990722656,0.0
48,9600,-113.85360717773438,-113.85360717773438,-113.85360717773438,0.0
49,9800,-145.3494415283203,-145.3494415283203,-145.3494415283203,0.0
50,10000,-155.03457641601562,-155.03457641601562,-155.03457641601562,0.0
