epoch,step,min,max,mean,std
1,100,-6390.61865234375,6901.6171875,363.353759765625,2164.42724609375
2,200,-5043.28759765625,3209.80712890625,-253.22036743164062,1045.05419921875
3,300,-8203.5859375,8753.912109375,-210.4153289794922,2735.013427734375
4,400,-4042.307861328125,5150.20166015625,442.1681823730469,1322.4586181640625
5,500,-13865.4287109375,18165.546875,853.5264892578125,4320.01171875
6,600,-2318.804443359375,4058.3408203125,344.73199462890625,1141.561279296875
7,700,-3228.41650390625,2504.90478515625,-432.16473388671875,938.182861328125
8,800,-5878.62548828125,7215.47314453125,-121.50218200683594,2011.336181640625
9,900,-7127.1162109375,8559.509765625,-277.81787109375,2300.349853515625
10,1000,-1976.8851318359375,2166.759521484375,155.4180145263672,674.3017578125
