epoch,step,min,max,mean,std
1,100,-35414.15234375,31454.859375,-328.677734375,4324.35107421875
2,200,-33107.39453125,35060.12109375,327.453125,4251.095703125
3,300,-51436.07421875,36650.80078125,-318.69580078125,4871.326171875
4,400,-38124.71875,25183.0,-411.9952697753906,4242.10302734375
5,500,-90223.4296875,25415.796875,-2663.648193359375,7372.404296875
6,600,-22784.322265625,20843.724609375,274.29827880859375,3048.292236328125
7,700,-13026.5634765625,35317.85546875,340.9600830078125,2738.66552734375
8,800,-17844.46484375,24037.13671875,-114.87648010253906,3286.08544921875
9,900,-21190.98828125,7696.87744140625,-375.1145935058594,2129.446533203125
10,1000,-9970.0302734375,10012.5634765625,-55.99563980102539,1609.461669921875
