epoch,step,min,max,mean,std
1,100,-1.616633415222168,1.0565694570541382,-0.13158898055553436,0.36010050773620605
2,200,-1.0889689922332764,0.23521408438682556,-0.3918159604072571,0.18530982732772827
3,300,-0.8456156253814697,0.0,-0.21163193881511688,0.11846920847892761
4,400,-2.233762264251709,0.0,-0.685624361038208,0.31843024492263794
5,500,-0.9050579071044922,0.9404953718185425,0.06955410540103912,0.28998246788978577
6,600,-0.34979358315467834,0.9508758187294006,0.11227452754974365,0.15545052289962769
7,700,-3.4925408363342285,0.0,-0.7121492624282837,0.5159804821014404
8,800,-3.6548352241516113,0.0,-0.858502984046936,0.6393475532531738
9,900,-4.409246921539307,0.15144020318984985,-0.917220950126648,0.745659589767456
10,1000,-0.6086130738258362,3.9157779216766357,0.49486294388771057,0.5738135576248169
