epoch,step,min,max,mean,std
1,100,-0.0022360903676599264,0.001160052721388638,-1.0730695066740736e-05,8.060095569817349e-05
2,200,-0.0008349557756446302,0.0006340427207760513,-7.2683969847275876e-06,4.848920798394829e-05
3,300,-0.0010063799563795328,0.0012907965574413538,3.576956828510447e-07,6.536541332025081e-05
4,400,-0.000726470781955868,0.0006936643621884286,-2.0153424884483684e-06,3.916688001481816e-05
5,500,-0.0015996454749256372,0.0009842623258009553,-7.407289103866788e-06,6.976268923608586e-05
6,600,-0.0006902273162268102,0.0006759642856195569,-5.144990154803963e-06,4.2395677155582234e-05
7,700,-0.0008362288353964686,0.0012271679006516933,1.8950990465782525e-07,4.257759792380966e-05
8,800,-0.001034902990795672,0.0006339400424621999,-4.8822166718309745e-06,4.5082073484081775e-05
9,900,-0.0010437750024721026,0.0008306352538056672,-8.126791726681404e-06,5.152688754606061e-05
10,1000,-0.000991322216577828,0.0012675570324063301,-2.487607616785681e-06,5.5023443565005437e-05
