epoch,step,min,max,mean,std
1,100,-0.0026801687199622393,0.003187652910128236,9.503622277406976e-05,0.0005312721477821469
2,200,-0.0016996406484395266,0.0018934885738417506,3.425116665312089e-05,0.00036350119626149535
3,300,-0.003243325976654887,0.001737733487971127,-5.127939584781416e-05,0.0003702405374497175
4,400,-0.002330541145056486,0.0014154230011627078,4.200075636617839e-06,0.00031457323348149657
5,500,-0.0027374736964702606,0.0028545300010591745,-2.5705989173729904e-05,0.0004378907033242285
6,600,-0.0021927673369646072,0.0013063513906672597,-6.642422704317141e-06,0.00030368499574251473
7,700,-0.0018402674468234181,0.002097764052450657,5.157807390787639e-05,0.00030366808641701937
8,800,-0.0021133646368980408,0.0024145657662302256,-5.216590579948388e-05,0.00032206231844611466
9,900,-0.002700159791857004,0.002462854376062751,-2.9731454560533166e-05,0.0003184528322890401
10,1000,-0.002867180621251464,0.0016533593880012631,-6.599039625143632e-05,0.00033244871883653104
