epoch,step,min,max,mean,std
1,100,-0.09718814492225647,-0.09718814492225647,-0.09718814492225647,0.0
2,200,-0.9691060781478882,-0.9691060781478882,-0.9691060781478882,0.0
3,300,-2.0290884971618652,-2.0290884971618652,-2.0290884971618652,0.0
4,400,-1.107729196548462,-1.107729196548462,-1.107729196548462,0.0
5,500,-2.0030980110168457,-2.0030980110168457,-2.0030980110168457,0.0
6,600,-1.140901803970337,-1.140901803970337,-1.140901803970337,0.0
7,700,-1.7423557043075562,-1.7423557043075562,-1.7423557043075562,0.0
8,800,-1.3833165168762207,-1.3833165168762207,-1.3833165168762207,0.0
9,900,0.08392035961151123,0.08392035961151123,0.08392035961151123,0.0
10,1000,-1.6130383014678955,-1.6130383014678955,-1.6130383014678955,0.0
