epoch,step,min,max,mean,std
1,100,-0.06625979393720627,0.01789628341794014,-0.0016948210541158915,0.009714157320559025
2,200,-0.06439876556396484,0.011638977564871311,-0.011986596509814262,0.013735232874751091
3,300,-0.17069490253925323,0.05971471592783928,-0.014952870085835457,0.05946436524391174
4,400,-0.2102026343345642,0.05143352225422859,-0.024430131539702415,0.07132446765899658
5,500,-0.13346034288406372,0.19553455710411072,-0.030511414632201195,0.06441321223974228
6,600,-0.08026423305273056,0.10427586734294891,-0.016010014340281487,0.042176391929388046
7,700,-0.17263028025627136,0.1255754679441452,-0.0010749357752501965,0.043804191052913666
8,800,-0.09503401815891266,0.20451031625270844,0.013780016452074051,0.0379757434129715
9,900,-0.7718584537506104,0.4642798602581024,0.0033580390736460686,0.36078494787216187
10,1000,-0.16343176364898682,0.05710386112332344,-0.013816652819514275,0.06217319145798683
