epoch,step,min,max,mean,std
1,100,-0.19106313586235046,-0.19106313586235046,-0.19106313586235046,0.0
2,200,-0.3664840757846832,-0.3664840757846832,-0.3664840757846832,0.0
3,300,0.40403154492378235,0.40403154492378235,0.40403154492378235,0.0
4,400,0.3238704800605774,0.3238704800605774,0.3238704800605774,0.0
5,500,-1.1611253023147583,-1.1611253023147583,-1.1611253023147583,0.0
6,600,-0.679374098777771,-0.679374098777771,-0.679374098777771,0.0
7,700,-0.26051515340805054,-0.26051515340805054,-0.26051515340805054,0.0
8,800,-0.06209397315979004,-0.06209397315979004,-0.06209397315979004,0.0
9,900,3.392946720123291,3.392946720123291,3.392946720123291,0.0
10,1000,0.33575862646102905,0.33575862646102905,0.33575862646102905,0.0
