epoch,step,min,max,mean,std
1,100,-0.00015260909276548773,0.006821367423981428,0.001319200498983264,0.002059824299067259
2,200,-1.2061385859851725e-05,0.00840620044618845,0.002504940377548337,0.0027659812476485968
3,300,-0.016756737604737282,0.11717570573091507,0.028946291655302048,0.04667116329073906
4,400,-0.3980802595615387,0.021776191890239716,-0.10494489222764969,0.1636705845594406
5,500,-0.004402413498610258,0.1104624941945076,0.03852014243602753,0.04029436782002449
6,600,-0.24127478897571564,0.04079659283161163,-0.06260951608419418,0.10232317447662354
7,700,-1.959294319152832,0.13645480573177338,-0.5303137302398682,0.8346876502037048
8,800,0.0,2.959627389907837,0.8627805113792419,1.21595299243927
9,900,-2.2337005138397217,0.011453893035650253,-0.6362361907958984,0.9410030245780945
10,1000,-0.026886053383350372,0.014669142663478851,-0.0014045871794223785,0.007644969969987869
