epoch,step,min,max,mean,std
1,100,-0.011674286797642708,0.0014535357477143407,-0.00029829193954356015,0.0007103459211066365
2,200,-0.0010621458059176803,0.000853744859341532,-1.7578369806869887e-05,0.00010308322816854343
3,300,-0.0006229658029042184,0.0007957612397149205,-3.621742052928312e-07,9.30274254642427e-05
4,400,-0.0005817938945256174,0.0004950350266881287,9.875308023765683e-06,6.753396155545488e-05
5,500,-0.0004970845184288919,0.000618952268268913,6.176040642458247e-06,6.621900683967397e-05
6,600,-0.0005669351085089147,0.0005147072952240705,-1.1223986803088337e-05,6.529504753416404e-05
7,700,-0.0012126328656449914,0.0009212718578055501,2.444193887640722e-05,0.00011235460988245904
8,800,-0.0006976971635594964,0.000898387108463794,-1.7402267985744402e-05,7.34936838853173e-05
9,900,-0.0007182416156865656,0.0009488628711551428,-1.2981188774574548e-05,7.832170376786962e-05
10,1000,-0.0015220101922750473,0.0015483349561691284,-4.533434548648074e-06,0.00012818373215850443
