epoch,step,min,max,mean,std
1,200,-18030.03515625,7337.2763671875,-2725.51904296875,4163.97509765625
2,400,-3952.295166015625,1005.1089477539062,-631.5382690429688,926.4105834960938
3,600,-1612.96435546875,973.9169311523438,-254.58029174804688,473.6549987792969
4,800,-1295.478515625,516.6550903320312,-216.18585205078125,343.0296936035156
5,1000,-890.4889526367188,832.862060546875,-70.51629638671875,296.3778991699219
6,1200,-760.7293701171875,718.0719604492188,-64.66049194335938,259.9383239746094
7,1400,-678.5130615234375,616.0401611328125,-36.064632415771484,263.7998962402344
8,1600,-1260.198974609375,958.15283203125,-29.145427703857422,319.566162109375
9,1800,-1367.695556640625,1169.0010986328125,-72.01958465576172,379.4617004394531
10,2000,-1418.0924072265625,1517.439453125,-94.35487365722656,465.80499267578125
11,2200,-1258.511474609375,759.2669677734375,-60.23404312133789,329.4002685546875
12,2400,-1180.4688720703125,1350.8438720703125,-20.539268493652344,428.6927490234375
13,2600,-1095.2183837890625,1661.9619140625,-73.55904388427734,416.62774658203125
14,2800,-1069.0999755859375,889.2666015625,42.585121154785156,355.9835510253906
15,3000,-1687.2783203125,1266.8673095703125,-5.134607315063477,467.04522705078125
16,3200,-1317.112060546875,2144.136474609375,29.722055435180664,471.6876220703125
17,3400,-1406.44775390625,1322.839599609375,47.60972213745117,423.73284912109375
18,3600,-2633.743408203125,2417.882080078125,37.82466506958008,816.7057495117188
19,3800,-1671.7452392578125,1908.6263427734375,50.02144241333008,517.5784912109375
20,4000,-1835.2642822265625,2561.18408203125,-17.154212951660156,655.8226928710938
21,4200,-1941.1478271484375,1644.52978515625,-76.05941772460938,650.6823120117188
22,4400,-1445.74267578125,2180.583740234375,59.95027160644531,635.9464111328125
23,4600,-2182.1396484375,1538.0875244140625,-149.0736846923828,640.4231567382812
24,4800,-1709.1416015625,1824.8460693359375,44.95611572265625,644.0549926757812
25,5000,-2358.05712890625,1912.284423828125,-22.132469177246094,617.8258666992188
26,5200,-1918.464111328125,2443.74755859375,102.26626586914062,775.6569213867188
27,5400,-1466.47021484375,1521.54931640625,-17.985427856445312,528.7029418945312
28,5600,-3077.0234375,2153.24560546875,-159.799072265625,777.1246337890625
29,5800,-1983.360595703125,1778.54541015625,1.082651138305664,736.08447265625
30,6000,-2364.19921875,1827.134521484375,-97.5350341796875,729.9281005859375
31,6200,-5093.52099609375,4119.02978515625,205.73904418945312,1523.9268798828125
32,6400,-2401.090087890625,1672.26123046875,-83.97016143798828,728.9288330078125
33,6600,-2132.4423828125,2216.47216796875,37.8839111328125,781.3619384765625
34,6800,-1587.4857177734375,2964.865234375,210.65139770507812,819.6141967773438
35,7000,-2136.18212890625,3269.112060546875,127.8493881225586,741.2841796875
36,7200,-1996.2432861328125,2025.15673828125,-109.09850311279297,773.5184936523438
37,7400,-1845.708740234375,1605.9654541015625,-31.677810668945312,600.6087646484375
38,7600,-1657.227294921875,2389.092041015625,-3.33544921875,666.0967407226562
39,7800,-2430.06201171875,2180.89404296875,-97.76823425292969,726.215576171875
40,8000,-1529.87060546875,1847.9034423828125,-41.44245529174805,612.4059448242188
41,8200,-2108.141357421875,2062.201416015625,-12.820465087890625,759.9651489257812
42,8400,-1796.724609375,1882.9786376953125,19.63385581970215,684.5354614257812
43,8600,-2102.01513671875,1758.968994140625,-44.46530532836914,584.9429321289062
44,8800,-1244.32080078125,1486.4732666015625,3.6465606689453125,467.0769958496094
45,9000,-1892.343017578125,1717.022705078125,-41.69654083251953,580.4774780273438
46,9200,-2167.373291015625,1475.626220703125,-87.1692123413086,587.1981811523438
47,9400,-1679.198486328125,1857.558837890625,119.10820007324219,691.3623657226562
48,9600,-1391.026123046875,1751.547119140625,36.22733688354492,566.4318237304688
49,9800,-2357.09619140625,2116.491455078125,-90.5815200805664,710.638671875
50,10000,-1585.1304931640625,1733.0323486328125,-21.94320297241211,527.3225708007812
