epoch,step,min,max,mean,std
1,200,-0.0006731036701239645,0.0004933389718644321,-1.910777973535005e-05,7.840988109819591e-05
2,400,-0.00029297915170900524,0.0002855156781151891,-2.468768116159481e-06,4.64834738522768e-05
3,600,-0.00041513159521855414,0.00042879889952018857,2.5704111976665445e-06,5.4412568715633824e-05
4,800,-0.00032541886321268976,0.00041544190025888383,2.1976295556669356e-06,4.999895827495493e-05
5,1000,-0.00036413277848623693,0.0003688748984131962,-2.749065970419906e-06,4.771483872900717e-05
6,1200,-0.0003432737139519304,0.0004964999970979989,3.4749939459288726e-06,4.846343654207885e-05
7,1400,-0.00047677563270553946,0.0004932720912620425,5.969544645267888e-07,5.550374407903291e-05
8,1600,-0.00025354899116791785,0.0002836569328792393,3.2817617920954945e-06,4.472470027394593e-05
9,1800,-0.00031451592803932726,0.0003405061725061387,2.6467548650543904e-06,4.900206113234162e-05
10,2000,-0.00034567329566925764,0.0003467130591161549,-2.7300501415084e-08,4.3315449147485197e-05
11,2200,-0.00044632391654886305,0.0003113790007773787,-2.3553391201858176e-06,4.737359267892316e-05
12,2400,-0.0003789636539295316,0.0003645635733846575,3.6933518003934296e-06,4.910166535410099e-05
13,2600,-0.000340166938258335,0.0003330133040435612,3.342050831633969e-07,4.4819546019425616e-05
14,2800,-0.00034927771775983274,0.00043050883687101305,1.0736105195974233e-06,4.984619954484515e-05
15,3000,-0.00039450565236620605,0.0002956613025162369,-1.2137170415371656e-06,4.8340720240958035e-05
16,3200,-0.0003373125218786299,0.00043008121429011226,1.4543581983161857e-06,5.526534732780419e-05
17,3400,-0.00035888439742848277,0.0003424737951718271,5.756943664891878e-06,4.8917660024017096e-05
18,3600,-0.00034955612500198185,0.00037793038063682616,-1.595823050593026e-06,5.404049443313852e-05
19,3800,-0.0004265019088052213,0.0004516623739618808,-6.226321147551062e-08,6.046111593605019e-05
20,4000,-0.00034863772452808917,0.00034538915497250855,2.4775117708486505e-06,5.049809260526672e-05
21,4200,-0.00036304545938037336,0.00043998652836307883,-5.706568799723755e-07,5.0606275181053206e-05
22,4400,-0.0006924877525307238,0.00045169476652517915,-6.132835096650524e-06,6.027625568094663e-05
23,4600,-0.00037611566949635744,0.0003273793263360858,-3.699743274410139e-06,5.619169314741157e-05
24,4800,-0.00043843191815540195,0.0003489597584120929,2.2322301447275095e-06,5.033269917475991e-05
25,5000,-0.00041791569674387574,0.0005515357479453087,4.3246404857200105e-06,5.292068817652762e-05
26,5200,-0.0003201978688593954,0.00037156077451072633,2.5357489903399255e-06,5.024881102144718e-05
27,5400,-0.0003606837126426399,0.0004284997994545847,-5.841894790137303e-08,5.3244064474711195e-05
28,5600,-0.00039973846287466586,0.00037435442209243774,-3.849489758067648e-07,5.473208875628188e-05
29,5800,-0.0003445933398324996,0.00043865112820640206,5.057645466877148e-07,6.0999060224276036e-05
30,6000,-0.0003577113093342632,0.0003864424070343375,-6.06562366556318e-07,5.3076855692779645e-05
31,6200,-0.00041026173857972026,0.0004784399061463773,-5.82194570597494e-06,6.047608985682018e-05
32,6400,-0.00043417123379185796,0.000382905185688287,2.7402231808082433e-06,5.802009400213137e-05
33,6600,-0.0003844895982183516,0.0003811987116932869,4.330065621616086e-06,5.7526634918758646e-05
34,6800,-0.00040197648922912776,0.00039129305514506996,-2.6929394607577706e-06,5.8153411373496056e-05
35,7000,-0.0004821708716917783,0.00037272906047292054,-5.368507572711678e-06,6.442332232836634e-05
36,7200,-0.00046166247921064496,0.00043330006883479655,4.817040462512523e-06,6.211936852196231e-05
37,7400,-0.0002991008514072746,0.00035679087159223855,-3.763729182537645e-06,5.408616198110394e-05
38,7600,-0.00042457948438823223,0.00039351440500468016,3.35256231664971e-06,5.961769420537166e-05
39,7800,-0.00043624802492558956,0.0003941883915103972,-1.1284139418421546e-06,5.681979746441357e-05
40,8000,-0.00045625201892107725,0.00043842135346494615,2.2249209905567113e-06,5.9345507906982675e-05
41,8200,-0.0004047895490657538,0.00046929874224588275,-1.8047273897536797e-07,6.192481669131666e-05
42,8400,-0.00036610051756724715,0.0006287260330282152,1.5492485090362607e-06,5.607952698483132e-05
43,8600,-0.0003606477694120258,0.000393612397601828,-9.337099982076325e-09,5.887275983695872e-05
44,8800,-0.0004746542836073786,0.000522204558365047,4.076957793586189e-06,6.103575287852436e-05
45,9000,-0.00041738839354366064,0.00046318184467963874,-1.5143310747589567e-06,6.296209176070988e-05
46,9200,-0.00044569160672836006,0.0004794422129634768,-7.958234391480801e-07,6.299854430835694e-05
47,9400,-0.00036168258520774543,0.00034597088233567774,-1.0405258876744483e-07,5.9544890973484144e-05
48,9600,-0.0004352771211415529,0.0004240676062181592,5.040531050326535e-07,5.8930672821588814e-05
49,9800,-0.00043120887130498886,0.0004265738243702799,1.2101273796361056e-06,6.141253106761724e-05
50,10000,-0.0004114809271413833,0.00042079974082298577,5.271639906823111e-07,6.243187817744911e-05
