epoch,step,min,max,mean,std
1,200,-46.64756393432617,-46.64756393432617,-46.64756393432617,0.0
2,400,-43.45574188232422,-43.45574188232422,-43.45574188232422,0.0
3,600,-38.119300842285156,-38.119300842285156,-38.119300842285156,0.0
4,800,-31.4511661529541,-31.4511661529541,-31.4511661529541,0.0
5,1000,-25.65402603149414,-25.65402603149414,-25.65402603149414,0.0
6,1200,-20.32608413696289,-20.32608413696289,-20.32608413696289,0.0
7,1400,-15.36142635345459,-15.36142635345459,-15.36142635345459,0.0
8,1600,-13.771142959594727,-13.771142959594727,-13.771142959594727,0.0
9,1800,-10.8521089553833,-10.8521089553833,-10.8521089553833,0.0
10,2000,-9.657942771911621,-9.657942771911621,-9.657942771911621,0.0
11,2200,-8.638592720031738,-8.638592720031738,-8.638592720031738,0.0
12,2400,-6.8459577560424805,-6.8459577560424805,-6.8459577560424805,0.0
13,2600,0.37272942066192627,0.37272942066192627,0.37272942066192627,0.0
14,2800,-7.537388324737549,-7.537388324737549,-7.537388324737549,0.0
15,3000,-3.22699236869812,-3.22699236869812,-3.22699236869812,0.0
16,3200,-7.730749130249023,-7.730749130249023,-7.730749130249023,0.0
17,3400,-4.660654544830322,-4.660654544830322,-4.660654544830322,0.0
18,3600,-4.189557075500488,-4.189557075500488,-4.189557075500488,0.0
19,3800,-3.741288900375366,-3.741288900375366,-3.741288900375366,0.0
20,4000,-7.941071510314941,-7.941071510314941,-7.941071510314941,0.0
21,4200,-7.395788192749023,-7.395788192749023,-7.395788192749023,0.0
22,4400,-5.707930564880371,-5.707930564880371,-5.707930564880371,0.0
23,4600,-4.793122291564941,-4.793122291564941,-4.793122291564941,0.0
24,4800,-6.207102298736572,-6.207102298736572,-6.207102298736572,0.0
25,5000,4.093216896057129,4.093216896057129,4.093216896057129,0.0
26,5200,-3.3851022720336914,-3.3851022720336914,-3.3851022720336914,0.0
27,5400,-5.943499565124512,-5.943499565124512,-5.943499565124512,0.0
28,5600,-10.716363906860352,-10.716363906860352,-10.716363906860352,0.0
29,5800,-2.1234188079833984,-2.1234188079833984,-2.1234188079833984,0.0
30,6000,-0.8206391334533691,-0.8206391334533691,-0.8206391334533691,0.0
31,6200,-15.443697929382324,-15.443697929382324,-15.443697929382324,0.0
32,6400,-4.8531813621521,-4.8531813621521,-4.8531813621521,0.0
33,6600,6.824934005737305,6.824934005737305,6.824934005737305,0.0
34,6800,-9.620403289794922,-9.620403289794922,-9.620403289794922,0.0
35,7000,-9.41549015045166,-9.41549015045166,-9.41549015045166,0.0
36,7200,-3.3845272064208984,-3.3845272064208984,-3.3845272064208984,0.0
37,7400,-13.116155624389648,-13.116155624389648,-13.116155624389648,0.0
38,7600,-2.714613199234009,-2.714613199234009,-2.714613199234009,0.0
39,7800,-11.812887191772461,-11.812887191772461,-11.812887191772461,0.0
40,8000,-3.7501235008239746,-3.7501235008239746,-3.7501235008239746,0.0
41,8200,-11.55311107635498,-11.55311107635498,-11.55311107635498,0.0
42,8400,-13.594707489013672,-13.594707489013672,-13.594707489013672,0.0
43,8600,-15.999654769897461,-15.999654769897461,-15.999654769897461,0.0
44,8800,-13.614314079284668,-13.614314079284668,-13.614314079284668,0.0
45,9000,5.343422889709473,5.343422889709473,5.343422889709473,0.0
46,9200,-19.986169815063477,-19.986169815063477,-19.986169815063477,0.0
47,9400,-2.5586655139923096,-2.5586655139923096,-2.5586655139923096,0.0
48,9600,-18.077816009521484,-18.077816009521484,-18.077816009521484,0.0
49,9800,-8.185400009155273,-8.185400009155273,-8.185400009155273,0.0
50,10000,-0.9513387680053711,-0.9513387680053711,-0.9513387680053711,0.0
